qid,Question,True Answer,Predicted Answer,Rating,Explanations
95,Which Emporio Armani fragrance did Beyoncé promote in 2007?,Diamonds,om,1,The answer is missing
15,What video game did Beyoncé back out of?,Starpower: Beyoncé,ninja gaiden,1,The answer is completely wrong
30,VH1 listed her at what number on their 100 Sexiest Artists list?,number 1,number one,1,The answer is correct but it does not address the concern about the artist's name
158,"In her music, what are some recurring elements in them?","love, relationships, and monogamy","acoustic guitar, piano, and vocals",1,The answer is not helpful at all
128,When did Beyonce partner with C&A to sell fashion in Brazil?,"May 27, 2010",2011,2,The answer is correct but it does not address the concern about the partnership's success
115,Who shares in the House of Deréon fashion line introduction with Beyoncé?,her mother,adrianne palicki,1,The answer is completely wrong and irrelevant to the question
69,Which hall at Notre Dame contains the current College of Science?,Jordan Hall of Science,Notre Dame Hall,1,The answer is correct but it does not address the question
170,Who cited Beyoncé as being the top certified artist of the 2000s?,The Recording Industry Association of America,neil diamond,1,The answer is completely wrong
174,Destiny's Child got a star on the Hollywood Walk of Fame in what year?,2006,1984,1,The answer is incorrect
45,What song did she release in 2013 in response to a speech?,Flawless,"""I'm Not There""",2,The answer is partially correct but fails to address the specific year and context of the question
66,Which prestigious prize does the School of Architecture at Notre Dame give out?,Driehaus Architecture Prize,sydney prize,1,The answer is completely wrong
182,How many copies did Crazy in Love sell?,around 8 million copies,over 100 million,1,The answer is correct but it does not address the concern about the song's popularity
165,How many awards did Beyoncé win at the 57th Annual Grammys?,three,ten,1,The answer is correct but it does not address the concern about the year of the Grammy's
78,On what date was Beyonce born?,"September 4, 1981","June 9, 1980",4,The answer is correct but it does not address the concern about Beyonce's age
186,Where did Destiny's Child get their name from?,Book of Isaiah.,Destiny's Child,1,The answer is not helpful at all
177,The Lobund Institute was merged into the Department of Biology at Notre Dame in what year?,1958,1898,1,The answer is correct but it does not address the concern about the Lobund Institute
56,How has L.A. Reid described her?,greatest entertainer alive,a sexy woman,1,The answer is not helpful at all
152,Who helped Beyoncé earn a Grammy award for Best R&B Performance by a Duo or Group at the 46th annual Grammy Awards?,Luther Vandross.,dr. Dre,1,The answer is correct but it does not address the question
82,Who managed the Destiny's Child group?,Mathew Knowles,jimmy osborne,1,The answer is completely wrong
68,"Ronald Reagan had a nickname, what was it?",The Gipper,roosevelt,1,The answer is incorrect
