qid,query,type
0,"What day did Beyonce release her single, Formation?",Span
1,Who's death caused this protest?,Span
2,When did Beyoncé give birth to a daughter?,Span
3,How many nights did she perform at Atlantic City?,Span
4,What hurricane years later after Katrina did the organization provide support for?,Span
5,What national disaster caused Beyonce to create the Survivor Foundation?,Span
6,What did the fans used to be called?,Span
7,"What word does ""Bey Hive"" derive from?",Span
8,Which social media company proclaimed Beyonce fans are know as the Bey Hive?,Span
9,Which year did Beyonce and her father part business ways?,Span
10,What was Angela Merkel serving as in relation to the letter?,Span
11,Beyonce signed a letter with who in 2015?,Span
12,When did Beyonce sign a letter for ONE Campaign?,Span
13,Who did Beyoncé sign a letter for in 2015?,Span
14,When was the disagreement settled out of court?,Span
15,What video game did Beyoncé back out of?,Span
16,Beyonce has a clothing line known as what?,Span
17,Which year did PETA spark controversy with Beyonce?,Span
18,During what years was Theodor Hesburgh president of Notre Dame?,Span
19,How many faculty members were at Notre Dame when Hesburgh left the role of president?,Span
20,What was the lifespan of Theodore Hesburgh?,Span
21,The French words Notre Dame du Lac translate to what in English?,Span
22,Beyonce was coached for her Spanish songs by which American?,Span
23,What album did she re-release in Spanish?,Span
24,What album did the Spanish songs come from?,Span
25,How many BA majors does the College of Arts and Letters at Notre Dame offer?,Span
26,In what year did the College of Arts and Letters at Notre Dame grant its first degree?,Span
27,Who is the developer of Eddy Street Commons?,Span
28,In what year was Father Edward Sorin given two years to create a college?,Span
29,"in September 2010, what career area did Beyonce start exploring?",Span
30,VH1 listed her at what number on their 100 Sexiest Artists list?,Span
31,"""World's Most Beautiful woman"" was declared to Beyonce by which national magazine?",Span
32,When did she appear on the cover of GQ?,Span
33,What was the name of Beyoncé's tour that she started on April 15?,Span
34,What part did she voice for the movie Epic?,Span
35,Beyonce's sex appeal is characterized as what?,Span
36,Which individual began a library at Notre Dame?,Span
37,Beyonce's mother worked in what industry?,Span
38,Beyoncé is a descendant of which Acadian leader?,Span
39,What did Beyoncé's mother own when Beyoncé was a child?,Span
40,Beyonce is a descendent of what Arcadian leader?,Span
41,Who did Beyoncé perform privately for in 2011?,Span
42,Who asked her to change her mind about the soft drink deal due to the nature of the product?,Span
43,Which soda company has Beyonce partnered with since 2002?,Span
44,What soft drink company has Beyoncé worked with since 2002?,Span
45,What song did she release in 2013 in response to a speech?,Span
46,What did she agree to do for 50 million dollars in 2012?,Span
47,In what year did Notre Dame first have a facility in England?,Span
48,"Notre Dame has a center in Beijing, what is it referred to as?",Span
49,What song did Jay Z release two days after Blue Ivy was born?,Span
50,What was the named of the song  dedicated to the child?,Span
51,How was Blue Ivy credited on Glory?,Span
52,In what year was the Joan B. Kroc Institute for International Peace Studies founded?,Span
53,Which African-American woman before Beyonce had posed for SI Swimsuit issue?,Span
54,"In addition to co-writing credits, Beyoncé also got what credits for most of her albums?",Span
55,What does she get credits for in her music?,Span
56,How has L.A. Reid described her?,Span
57,What characteristics has Beyonce received acclaim for?,Span
58,How does Alice Jones describe her?,Span
59,What band supports Beyonce in her tours?,Span
60,Where did Suga Mama band make their first appearance?,Span
61,What is the name of Beyoncé's female tour band?,Span
62,The Mamas first appearance was when?,Span
63,What advertisement was Beyoncé's skin supposedly lightened in?,Span
64,What about Beyonce has influenced many entertainers?,Span
65,"Which friend learned from Beyonce while preparing for the film, ""Country Strong?""",Span
66,Which prestigious prize does the School of Architecture at Notre Dame give out?,Span
67,"In what film did a parody of the ""Win one for the Gipper"" speech appear?",Span
68,"Ronald Reagan had a nickname, what was it?",Span
69,Which hall at Notre Dame contains the current College of Science?,Span
70,Which single from B'Day was only released in the U.K.?,Span
71,The lead single from the album was which song?,Span
72,What was created at Notre Dame in 1962 to assist first year students?,Span
73,How many colleges for undergraduates are at Notre Dame?,Span
74,Beyonce tied with which artist for most nominations by a female artist?,Span
75,What areas did Beyonce compete in when she was growing up?,Span
76,Beyonce tied who for most number one singles by a female?,Span
77,What is Beyonce's full name?,Span
78,On what date was Beyonce born?,Span
79,What was Beyoncé's role in Destiny's Child?,Span
80,When did Beyonce leave Destiny's Child and become a solo singer?,Span
81,What album made her a worldwide known artist?,Span
82,Who managed the Destiny's Child group?,Span
83,Beyonce received how many nominations at the 52nd Annual Grammy Awards?,Span
84,What sits on top of the Main Building at Notre Dame?,Span
85,"Who is responsible for writing the music for ""Notre Dame Victory March?""",Span
86,In what year did the opening of a theology library at Notre Dame occur?,Span
87,What is the oldest structure at Notre Dame?,Span
88,What is the annual budget of Notre Dame's LaFortune Center?,Span
89,What is the name of Beyoncé's management company?,Span
90,"Which singer did Beyonce honor by entertaining with her song ""Deja Vu""?",Span
91,What type of clothing does Parkwood Topshop Athletic Ltd produce?,Span
92,What was the new division of Topshop because of the partnership?,Span
93,In what year was the College of Engineering at Notre Dame formed?,Span
94,Irvin Abell was given what award by Notre Dame?,Span
95,Which Emporio Armani fragrance did Beyoncé promote in 2007?,Span
96,What year did Beyoncé introduce her first fragrance?,Span
97,The world's best selling celebrity perfume line belongs to whom?,Span
98,The Mrs. Carter Show Limited Edition was released in what year?,Span
99,When did Beyoncé introduce Sasha Fierce?,Span
100,What year did Beyonce do away with Sasha Fierce?,Span
101,What was Beyoncé's first concert?,Span
102,Which athletic association are the student athletes at Notre Dame a part of?,Span
103,Who did Waldemar Gurian receive his tutelage under while seeking his doctorate?,Span
104,What field of study did Anton-Hermann Chroust specialize in?,Span
105,Who listed her at number 17 in their list of  Top 20 hot 100 Songwriters?,Span
106,Who supported Beyonce through her depression?,Span
107,Which newest member was removed from Destiny's Child?,Span
108,Which college did Notre Dame add in 1921?,Span
109,How long was Beyonce depressed?,Span
110,"In 1919 a new president of Notre Dame was named, who was it?",Span
111,What event occured after she was publicly criticized?,Span
112,What event caused Beyonce's depression?,Span
113,Beyonce's grandma's name was?,Span
114,What is the name of the House of Deréon junior collection?,Span
115,Who shares in the House of Deréon fashion line introduction with Beyoncé?,Span
116,"Who inspires Beyoncé because ""she does it all?""",Span
117,Which month and year did Beyonce credit Madonna for inspiring her to take control of her career?,Span
118,How does Madonna influence her?,Span
119,Hoe does she describe Oprah Winfrey?,Span
120,"What large amount did the movie ""Goldmember"" gross?",Span
121,Which other song from the soundtrack did better in the charts?,Span
122,"What musical comedy did Beyoncé star in along with Cuba Gooding, Jr. in 2003?",Span
123,"Who did Beyonce record the lead single with in the movie ""The Fighting Temptations""?",Span
124,Beyonce starred with Cuba Gooding Jr. in which film?,Span
125,Back-to-school shopping was introduced in what year of Beyonce's clothing line?,Span
126,Who did Beyoncé team up with in 2010 to get her fashions into Brazil?,Span
127,What company did Beyoncé get together with in 2005 to add shoes to her fashions?,Span
128,When did Beyonce partner with C&A to sell fashion in Brazil?,Span
129,What is the name of Beyoncé's fourth studio album?,Span
130,"When was it discovered Beyonce was a co-owner of the music service, Tidal?",Span
131,What is the parent company of the music service Beyoncé owns part of?,Span
132,Which team did Notre Dame's football team find inspiration from?,Span
133,When were Beyonce and Jay Z married?,Span
134,Where did Beyoncé get pregnant?,Span
135,Which congregation is in charge of the Old College at Notre Dame?,Span
136,Beyonce and Jay-Z went to a rally for the acquittal of whom?,Span
137,How much did Beyonce raise for Obama at the 40/40 Club?,Span
138,What did they attend in July 2013?,Span
139,In what year did Notre Dame begin to host the Global Adaptation Index?,Span
140,What is the value of the contract between Under Armour and Notre Dame?,Span
141,What is notable about the Notre Dame marching band?,Span
142,What movie did Beyonce act in 2006?,Span
143,What pop singer did a duet with Beyoncé on Beautiful Liar?,Span
144,Beyonce's first world tour was when?,Span
145,What does the acronym NCAA stand for?,Span
146,In what year was the Main Building at Notre Dame razed in a fire?,Span
147,"After her second solo album, what other entertainment venture did Beyonce explore?",Span
148,Who is Beyoncé married to?,Span
149,What was the name of Beyoncé's second solo album?,Span
150,What was the lifespan of John Augustine Zahm?,Span
151,How many awards did Beyoncé win at the 46th Grammy's Awards?,Span
152,Who helped Beyoncé earn a Grammy award for Best R&B Performance by a Duo or Group at the 46th annual Grammy Awards?,Span
153,Beyonce's first number one song was which song?,Span
154,"Which critic called Beyonce's voice ""versatile""?",Span
155,What do other critics claim?,Span
156,Time magazine named her one of the most 100 what people of the century?,Span
157,How did Beyonce describe herself as a feminist?,Span
158,"In her music, what are some recurring elements in them?",Span
159,Beyonce has been awarded how many Grammy nominations?,Span
160,How many awards at the Broadcast Film Critics Association Awards in 2006 did Beyonce bring home?,Span
161,"Where did Beyoncé perform on January 20, 2009?",Span
162,Where did Beyonce donate her salary from the movie Cadillac Records?,Span
163,Beyonce took home how many awards at the 57th Grammy Awards?,Span
164,"Which magazine did Beyoncé pose for the cover, making her the first black female artist to do so?",Span
165,How many awards did Beyoncé win at the 57th Annual Grammys?,Span
