qid,question,True Ans,M_RAG,IsSpan
18,During what years was Theodor Hesburgh president of Notre Dame?,1952–87,1986,1
20,What was the lifespan of Theodore Hesburgh?,1917–2015,President Emeritus,1
26,In what year did the College of Arts and Letters at Notre Dame grant its first degree?,1849,1870s,1
29,"in September 2010, what career area did Beyonce start exploring?",modelling,acting,0
34,What part did she voice for the movie Epic?,Queen Tara,George Zipp,1
36,Which individual began a library at Notre Dame?,Father Lemonnier,Theodore Hesburgh,0
37,Beyonce's mother worked in what industry?,hairdresser and salon owner,music,0
43,Which soda company has Beyonce partnered with since 2002?,Pepsi,IDK,0
47,In what year did Notre Dame first have a facility in England?,1968,IDK,0
55,What does she get credits for in her music?,co-producing credits,songwriting,1
57,What characteristics has Beyonce received acclaim for?,stage presence and voice,pop singer,1
59,What band supports Beyonce in her tours?,Suga Mama,IDK,0
69,Which hall at Notre Dame contains the current College of Science?,Jordan Hall of Science,Notre Dame's current president,1
71,The lead single from the album was which song?,Déjà Vu,Crazy in Love,1
73,How many colleges for undergraduates are at Notre Dame?,five,four,1
75,What areas did Beyonce compete in when she was growing up?,singing and dancing,"basketball, cross country, fencing, golf, lacrosse, rowing, soccer, softball, swimming & diving, tennis, track & field and volleyball",1
76,Beyonce tied who for most number one singles by a female?,Mariah Carey,Diane Warren,1
77,What is Beyonce's full name?,Beyoncé Giselle Knowles-Carter,Beyoncé,1
79,What was Beyoncé's role in Destiny's Child?,lead singer,band members,1
81,What album made her a worldwide known artist?,Dangerously in Love,The Writing's on the Wall,1
84,What sits on top of the Main Building at Notre Dame?,a golden statue of the Virgin Mary,LaFortune Center,0
87,What is the oldest structure at Notre Dame?,Old College,Notre Dame Memorial Coliseum,0
89,What is the name of Beyoncé's management company?,Parkwood Entertainment,Beyond Productions,1
97,The world's best selling celebrity perfume line belongs to whom?,Beyoncé,Beyoncé,1
101,What was Beyoncé's first concert?,Michael Jackson,The Beyoncé Experience,1
102,Which athletic association are the student athletes at Notre Dame a part of?,NCAA Division I,NCAA,0
107,Which newest member was removed from Destiny's Child?,Farrah Franklin,Solange,1
109,How long was Beyonce depressed?,a couple of years,IDK,0
111,What event occured after she was publicly criticized?,boyfriend left her,a return to her African roots,1
113,Beyonce's grandma's name was?,Agnèz Deréon,IDK,0
116,"Who inspires Beyoncé because ""she does it all?""",First Lady Michelle Obama,Notre Dame,1
120,"What large amount did the movie ""Goldmember"" gross?",73 million,IDK,0
125,Back-to-school shopping was introduced in what year of Beyonce's clothing line?,2009,2007,1
126,Who did Beyoncé team up with in 2010 to get her fashions into Brazil?,C&A,Jerian Grant,1
127,What company did Beyoncé get together with in 2005 to add shoes to her fashions?,House of Brands,Beyond Productions,1
134,Where did Beyoncé get pregnant?,Paris.,New York,1
135,Which congregation is in charge of the Old College at Notre Dame?,Congregation of Holy Cross,Congregation of Holy Cross,1
142,What movie did Beyonce act in 2006?,The Pink Panther,"Knute Rockne, All American",1
144,Beyonce's first world tour was when?,2007,2009–2010,1
145,What does the acronym NCAA stand for?,National Collegiate Athletic Association,NCAA,0
147,"After her second solo album, what other entertainment venture did Beyonce explore?",acting,Beyoncé's third solo album I Am... Sasha Fierce,1
148,Who is Beyoncé married to?,Jay Z,Jay Z,1
149,What was the name of Beyoncé's second solo album?,B'Day,B'Day,1
153,Beyonce's first number one song was which song?,Crazy in Love,Irreplaceable,1
155,What do other critics claim?,praise her range and power,"the ""Notre Dame Victory March"" ranks as the greatest fight song of all time",1
156,Time magazine named her one of the most 100 what people of the century?,influential,Sexiest,1
157,How did Beyonce describe herself as a feminist?,modern-day feminist,that word can be very extreme... But I guess I am a modern-day feminist. I do believe in equality,1
158,"In her music, what are some recurring elements in them?","love, relationships, and monogamy",high definition music videos,1
159,Beyonce has been awarded how many Grammy nominations?,52,ten,1
164,"Which magazine did Beyoncé pose for the cover, making her the first black female artist to do so?",Vogue,Time,1
169,When did Destiny's Child announce their hiatus?,October 2001,2003,1
170,Who cited Beyoncé as being the top certified artist of the 2000s?,The Recording Industry Association of America,The Recording Industry Association of America,1
171,When was she again on the Time 100 List and on the cover?,2014,2013,1
172,How many individual colleges are part of Notre Dame?,four,five,1
179,What amount of the student body of Notre Dame identifies as Catholic?,over 80%,IDK,0
181,"When did Destiny's Child release its album ""Love Songs""?",January 2013,"November 15, 2004",1
182,How many copies did Crazy in Love sell?,around 8 million copies,11 million,1
186,Where did Destiny's Child get their name from?,Book of Isaiah.,a passage in the Book of Isaiah,0
187,"Which person portrayed Knute Rockne in the 1940 movie ""Knute Rockne?""",Pat O'Brien,Pat O'Brien,1
190,Where did Beyonce release her 5th album to a huge surprise?,the iTunes Store,December,1
191,Where was the album released? ,the iTunes Store,worldwide,1
198,When did Beyonce begin her second world tour?,March 2009,2009–2010,1
199,Who is Beyoncé's alter ego?,Sasha Fierce,Sasha Fierce,1
