qid,query,type
0,In what year was Bern ranked as one of the 10 best cities for their quality of life?,Span
1,What is Bern's ranking for the best quality of life?,Span
2,When did the centre of Bern become the UNESCO World Heritage Site?,Span
3,Where is the UNESCO World Heritage Site?,Span
4,Where is the UNESCO World Heritage Site located?,Span
5,When did the Black Guard exist?,Span
6,When did Moroccan Sultan Moulay Ismail live?,Span
7,What did he call his slave army?,Span
8,How many black slaves did he own?,Span
9,What did the Black Guard do?,Span
10,When was RIBA founded?,Span
11,In what country does RIBA mainly operate?,Span
12,What does RIBA stand for?,Span
13,When was RIBA's founding document expanded?,Span
14,What is the goal of RIBA?,Span
15,The India Gate commemorates the lost soldiers of what army?,Span
16,The Indian Gate was inspired by what Parisian monument?,Span
17,"Which Indian monument, inspired by the Arc de Triomphe, was built in 1931?",Span
18,The India Gate commemorates how many soldiers of past wars?,Span
19,What year was the India Gate built?,Span
20,Who laid the foundation stone of New Delhi?,Span
21,Who designed the foundation stone of the city of New Delhi?,Span
22,In what year was the foundation stone of New Delhi laid?,Span
23,Who inaugurated the city of New Delhi?,Span
24,On what date was New Delhi inaugurated?,Span
25,Who was responsible for constructing the Jantar Mantar?,Span
26,The Jantar Mantar consists of how many architectural astronomy instruments?,Span
27,What is the name of the observatory built in Connaught Place by Maharaja Jai Singh II of Jaipur?,Span
28,What is one of the primary purposes of the Jantar Mantar observatory?,Span
29,In what area of New Delhi is the Jantar Mantar observatory located?,Span
30,How many blocks west of Second Avenue does E 122nd Street run?,Span
31,What is another name for Fourth Avenue?,Span
32,"A segment of what road crosses portions of Third Avenue, Lexington, and Park and runs in East Harlem?",Span
33,At which intersection does E 122nd Street terminate?,Span
34,At which park does E 122nd Street end?,Span
35,What are international tribunals and arbiters often called upon to resolve in regards to treaties?,Span
36,For what purpose might an international tribunal review the preparatory work from the negotiation and drafting of a treaty?,Span
37,"In addition to the final, signed treaty what else might arbiters review to establish the meaning of a treaty in context?",Span
38,What judicial bodies might be called upon to resolve disputes pertaining to the interpretation of treaties?,Span
39,"In addition to the preparatory work from the drafting and negotiation of a treaty, what might arbiters review when resolving a dispute over the interpretation of a treaty?",Span
40,Which will prevail in a conflict between international and domestic law?,Span
41,What are started to be a source of international law in the preamble in The Law of Treaties?,Span
42,An act or lack thereof cannot be made legal under what law even if made legal under internal law?,Span
43,Approval under what law will not make an act or lack thereof legal if condemned under international law?,Span
44,The preamble of what states that treaties are a source of international law?,Span
45,Who owns two dogs with four eyes each in Hindu mythology?,Span
46,What does Muthappan use for his hunting dog for?,Span
47,What is the name of the god of death?,Span
48,What do Yama's dogs watch over?,Span
49,Offerings at the Muthappan Temple shrine take on what form?,Span
50,How much money did Beyoncé contribute at the beginning of her Hurricane Katrina foundation?,Span
51,"How much cash did Beyonce put into the venture, the Survivor Foundation at startup?",Span
52,How much did Beyonce initially contribute to the foundation?,Span
53,What hurricane years later after Katrina did the organization provide support for?,Span
54,What foundation did Beyoncé start after Hurricane Katrina?,Span
55,What did people fear in 1930?,Span
56,What did this menace undermine?,Span
57,Who noted this particular fear?,Span
58,Which race was growing faster after the First World War?,Span
59,Who is Dr. Cecil Cook?,Span
60,How many people were listed as missing?,Span
61,How many people were injured?,Span
62,What were the 158 relief workers doing when they were killed?,Span
63,How many died in Sichuan?,Span
64,How many deaths were reported?,Span
65,What digit are Saint Helena phone numbers prefixed with?,Span
66,How many digits did Saint Helena change their phone numbers to?,Span
67,What is the international calling code for Saint Helena?,Span
68,Who shares the calling code +290 with Saint Helena?,Span
69,When did Saint Helena change the amount of digits in their phone numbers?,Span
70,What is the name of an honor given to collegiate debate teams?,Span
71,How many times have KU teams appeared in the National Debate Tournament?,Span
72,How many times has KU been one of the last four teams competing at the National Debate Championships?,Span
73,What school has won the most national debate championships?,Span
74,How many times has KU won the national debate championship?,Span
75,What was the Earl of Cambridge's first name?,Span
76,"What group did the men accused of high treason, including Henry Scrope and Sir Thomas Grey, lead?",Span
77,Outside of what structure did the execution of the Southampton Plot leaders take place?,Span
78,What battle did King Henry leave for in 1415?,Span
79,What is the public house where the men from Southampton Plot were tried called now?,Span
80,What is the most popular variety of bariis?,Span
81,What is bariis in English?,Span
82,After what event during Ramadan is dinner served?,Span
83,When is the latest a Somali might eat dinner during Ramadan?,Span
84,What is the English word for qado?,Span
85,How many satellite constellations does the BeiDou Navigation Satellite System have?,Span
86,How long has the limited test system been operating?,Span
87,How is the BeiDou Navigation Satellite System written in traditional Chinese?,Span
88,What is the BeiDou Navigation Satellite System?,Span
89,What are the two satellite constellations?,Span
90,Political instability has resulted in what type of economic activity?,Span
91,What is the one country that takes longer than Guinea-Bissau to register a business?,Span
92,Political instability has resulted in what description of social conditions?,Span
93,What type of imbalances have increased as a result of the instability?,Span
94,How long does it take to register a business in Guinea-Bissau?,Span
95,What was the name of the previously-patented music player from 1981?,Span
96,What patent holding company sued Apple in 2007?,Span
97,In what year did Kane Kramer apply for his patent?,Span
98,Apple was involved in a lawsuit with which company in 2007?,Span
99,Who previously applied for a patent for an iPod-like device?,Span
