qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,BERT,Perp_ans,IDK,Time
0,2010,2010,1.0,1.0,1.0,1.0,0,1,1.000000238418579,1.0131636336759544,0,0.003347329298655192
1,the world’s top ten,top ten,0.3333333333333333,0.3333333333333333,1.0,0.5,12,0,0.5785614252090454,1.2908968378354748,0,0.004624640941619873
2,1983,1983,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.0043472815491046,0,0.003408189614613851
3,centre of Bern,Bern,0.3333333333333333,0.3333333333333333,1.0,0.5,10,0,0.6026480197906494,1.0908527697188062,0,0.0034273425738016766
4,the centre of Bern,Bern,0.25,0.25,1.0,0.4,14,0,0.6080091595649719,1.0539421801180024,0,0.0034336090087890626
5,In the 18th century,In the 18th century,1.0,1.0,1.0,1.0,0,1,1.0,1.0600067546637402,0,0.005822539329528809
6,(1672–1727),1672–1727,0.3333333333333333,0.3333333333333333,1.0,0.5,2,0,0.7246124744415283,1.023520906920571,0,0.006707592805226644
7,Black Guard,Black Guard,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.041932545619445,0,0.003994580109914144
8,"150,000","150,000",1.0,1.0,1.0,1.0,0,1,1.0,1.0095246404056808,0,0.0040105700492858885
9,coerced the country into submission.,coerced the country into submission,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,1,0,0.9281632900238037,1.0204143290540248,0,0.007647951443990071
10,1837,1837,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0071873379494334,0,0.0039836605389912925
11,United Kingdom,United Kingdom,1.0,1.0,1.0,1.0,0,1,1.0,1.0197143642897681,0,0.004017722606658935
12,Royal Institute of British Architects,Royal Institute of British Architects,1.0,1.0,1.0,1.0,0,1,1.0,1.0087438886509426,0,0.007123780250549316
13,1971,1971,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.0257040334789074,0,0.0034695068995157876
14,the advancement of architecture,the advancement of architecture,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.2297458153718768,0,0.005254189173380534
15,Indian Army,Indian Army,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.083988685209217,0,0.005133179823557535
