qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,BERT,Perp_ans,IDK,Time
0,2010,2010,1.0,1.0,1.0,1.0,0,1,1.000000238418579,3.400943008125555,0,0.010871165990829467
1,the world’s top ten,IDK,0.0,0.0,0.0,0.0,19,0,0.33462977409362793,1.9062260161485707,1,0.010871165990829467
2,1983,1996,0.0,0.0,0.0,0.0,2,0,0.8146746158599854,3.885039984220476,0,0.0030793070793151854
3,centre of Bern,switzerland,0.0,0.0,0.0,0.0,12,0,0.4937073588371277,2.4433439155554497,0,0.0030793070793151854
4,the centre of Bern,switzerland,0.0,0.0,0.0,0.0,16,0,0.4818582534790039,2.531449767237193,0,0.0032094021638234458
5,In the 18th century,during the russian revolution,0.14285714285714285,0.25,0.25,0.25,20,0,0.5458833575248718,2.5920268927958316,0,0.0032094021638234458
6,(1672–1727),c. 1492 – 1568,0.0,0.0,0.0,0.0,11,0,0.5449214577674866,4.820481641580553,0,0.004367039601008097
7,Black Guard,egyptians,0.0,0.0,0.0,0.0,10,0,0.5567400455474854,1.850965660240421,0,0.004367039601008097
8,"150,000",IDK,0.0,0.0,0.0,0.0,7,0,0.3973720371723175,1.7380721603519314,1,0.0037664393583933514
9,coerced the country into submission.,fought against russians,0.0,0.0,0.0,0.0,25,0,0.4553065896034241,3.3769797403971387,0,0.0037664393583933514
10,1837,1834,0.0,0.0,0.0,0.0,1,0,0.8887714147567749,4.038310423712711,0,0.0019814729690551757
11,United Kingdom,uk,0.0,0.0,0.0,0.0,14,0,0.6295214891433716,1.8009953787657824,0,0.0019814729690551757
12,Royal Institute of British Architects,Royal Institute of British Architects,1.0,1.0,1.0,1.0,0,1,1.0,1.3325792033313837,0,0.0037496785322825112
13,1971,1834,0.0,0.0,0.0,0.0,3,0,0.7415791749954224,5.7478646154696,0,0.0037496785322825112
14,the advancement of architecture,to promote the practice of architecture,0.42857142857142855,0.75,0.5,0.6,19,0,0.6954759955406189,2.1633060497875225,0,0.0033828318119049072
15,Indian Army,the indian army,0.0,0.0,0.0,0.0,6,0,0.8591079711914062,1.6451206872292488,0,0.0033828318119049072
16,Arc de Triomphe,louvre,0.0,0.0,0.0,0.0,13,0,0.3226373493671417,2.175880203618541,0,0.0037920037905375165
17,The India Gate,taj mahal,0.0,0.0,0.0,0.0,11,0,0.49851635098457336,1.6977399678197305,0,0.0037920037905375165
18,"90,000",58,0.0,0.0,0.0,0.0,6,0,0.4305236339569092,5.954822813006046,0,0.001989014943440755
19,1931,IDK,0.0,0.0,0.0,0.0,4,0,0.43961837887763977,2.4629221440500717,1,0.001989014943440755
20,George V,napoleon,0.0,0.0,0.0,0.0,7,0,0.5030012726783752,2.3541625468379443,0,0.004226891199747721
21,Sir Edwin Lutyens and Sir Herbert Baker,saheb dal,0.0,0.0,0.0,0.0,33,0,0.3131544888019562,3.826808493444101,0,0.004226891199747721
22,1911,1858,0.0,0.0,0.0,0.0,3,0,0.783870279788971,2.585228543255753,0,0.003450000286102295
23,Viceroy Lord Irwin,narendra modi,0.0,0.0,0.0,0.0,14,0,0.381156861782074,1.5806492947011863,0,0.003450000286102295
24,13 February 1931,1858,0.0,0.0,0.0,0.0,15,0,0.4572058618068695,3.7483242014031917,0,0.005302125215530395
25,Maharaja Jai Singh II of Jaipur,narayan krishna,0.0,0.0,0.0,0.0,24,0,0.36099380254745483,1.800517423545178,0,0.005302125215530395
26,13,12,0.0,0.0,0.0,0.0,1,0,0.897625207901001,3.7034522174312396,0,0.0034889082113901773
27,Jantar Mantar,jhajjar,0.0,0.0,0.0,0.0,10,0,0.5001657009124756,2.6499751724242286,0,0.0034889082113901773
28,compile astronomical tables,to study the stars,0.0,0.0,0.0,0.0,20,0,0.4857345521450043,2.627233545739784,0,0.0031057457129160565
29,Connaught Place,karol bagh,0.0,0.0,0.0,0.0,12,0,0.328804612159729,2.3229529281122385,0,0.0031057457129160565
30,four,10,0.0,0.0,0.0,0.0,4,0,0.6913905739784241,4.248825425866788,0,0.003790487845738729
31,Park,st johns avenue,0.0,0.0,0.0,0.0,14,0,0.40093156695365906,2.588272323005727,0,0.003790487845738729
32,E 122nd Street,125th street,0.0,0.0,0.0,0.0,6,0,0.8200169801712036,2.803578529980921,0,0.0042689581712087
33,Madison Avenue,hwy 59,0.0,0.0,0.0,0.0,13,0,0.39983701705932617,3.394865648921028,0,0.0042689581712087
34,Marcus Garvey Memorial Park,Central Park,0.2,0.25,0.5,0.3333333333333333,18,0,0.4594701826572418,1.875322164705373,0,0.0021258115768432615
35,substantial disputes over treaty interpretations,disputes,0.2,0.2,1.0,0.33333333333333337,40,0,0.5343292951583862,1.2811550874595752,0,0.0021258115768432615
36,To establish the meaning in context,to ensure that it is fair and balanced,0.0,0.0,0.0,0.0,28,0,0.5414201021194458,2.801901866147527,0,0.00494547684987386
37,the preparatory work from the negotiation and drafting of the treaty,treaty history,0.1,0.1111111111111111,0.5,0.1818181818181818,55,0,0.44623592495918274,3.1074978775256934,0,0.00494547684987386
38,International tribunals and arbiters,international courts,0.0,0.0,0.0,0.0,19,0,0.5941382050514221,2.0420040563222464,0,0.002998155355453491
39,"the final, signed treaty itself",treaty history,0.14285714285714285,0.16666666666666666,0.5,0.25,24,0,0.4479864835739136,2.1315880581196955,0,0.002998155355453491
40,international law,domestic law,0.3333333333333333,0.5,0.5,0.5,10,0,0.7669735550880432,1.3233952441583736,0,0.0025697549184163413
41,treaties,treaties,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.0703925841929596,0,0.0025697549184163413
42,international law,international law,1.0,1.0,1.0,1.0,0,1,0.9999997615814209,1.600241234883613,0,0.0027608811855316163
43,internal law,domestic law,0.3333333333333333,0.5,0.5,0.5,7,0,0.8049356341362,1.425599199621729,0,0.0027608811855316163
44,The Law of Treaties,the oath of scotland,0.14285714285714285,0.25,0.25,0.25,12,0,0.5739566087722778,2.34273637595865,0,0.0052812556425730385
45,Yama,shiva,0.0,0.0,0.0,0.0,4,0,0.48691609501838684,2.153495947204428,0,0.0052812556425730385
46,mount,a slingshot,0.0,0.0,0.0,0.0,9,0,0.4586491286754608,4.35296833292472,0,0.0034346222877502442
47,Yama,satan,0.0,0.0,0.0,0.0,3,0,0.4503217935562134,1.6956284075388453,0,0.0034346222877502442
48,the gates of Naraka,the sun,0.2,0.25,0.5,0.3333333333333333,14,0,0.5012716054916382,3.7450481619666562,0,0.0023565669854482014
49,bronze dog figurines.,sand,0.0,0.0,0.0,0.0,19,0,0.3491145670413971,3.982172781692083,0,0.0023565669854482014
50,"$250,000.",$1 million,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,9,0,0.5938181281089783,2.82492484938093,0,0.0024173974990844725
51,"250,000",IDK,0.0,0.0,0.0,0.0,7,0,0.39121323823928833,1.1623959885638202,1,0.0024173974990844725
52,"$250,000",IDK,0.0,0.0,0.0,0.0,8,0,0.3452269434928894,1.3964747970345697,1,0.002388477325439453
53,Ike,2005 hurricane season,0.0,0.0,0.0,0.0,20,0,0.2957906126976013,1.8190176944578262,0,0.002388477325439453
54,Survivor Foundation,4 u foundation,0.0,0.0,0.0,0.0,9,0,0.5442626476287842,2.145264757531336,0,0.003530402978261312
55,"""half-caste menace""",affluenza,0.0,0.0,0.0,0.0,15,0,0.36068660020828247,2.664388020408288,0,0.003530402978261312
56,the White Australia ideal,the chinese economy,0.16666666666666666,0.25,0.3333333333333333,0.28571428571428575,17,0,0.5056989192962646,3.171548492824205,0,0.0044378201166788735
57,Dr. Cecil Cook,john f kennedy,0.0,0.0,0.0,0.0,14,0,0.40140995383262634,1.6762775592963834,0,0.0044378201166788735
58,mixed-race people,irish,0.0,0.0,0.0,0.0,15,0,0.3646639883518219,1.8386867505179272,0,0.0030835707982381183
59,"the Northern Territory Protector of Natives,",astrologer,0.0,0.0,0.0,0.0,38,0,0.3998674154281616,3.256035740282178,0,0.0030835707982381183
60,"18,498",IDK,0.0,0.0,0.0,0.0,6,0,0.29897865653038025,1.8656379414150324,1,0.0019712408383687338
61,"374,176",IDK,0.0,0.0,0.0,0.0,7,0,0.33609455823898315,1.5519616051322744,1,0.0019712408383687338
62,tried to repair roads,assisting in relief efforts,0.0,0.0,0.0,0.0,19,0,0.5518449544906616,2.8008663259512234,0,0.003085462252298991
63,"68,636",chinese,0.0,0.0,0.0,0.0,7,0,0.2983108460903168,3.3729802137499862,0,0.003085462252298991
64,"69,180",IDK,0.0,0.0,0.0,0.0,6,0,0.32429075241088867,1.4727876610448347,1,0.0020540813604990643
65,2,0,0.0,0.0,0.0,0.0,1,0,0.7411013245582581,2.147623773081292,0,0.0020540813604990643
66,5,5,1.0,1.0,1.0,1.0,0,1,1.0,3.838049657934175,0,0.0023791094621022544
67,+290,002,0.0,0.0,0.0,0.0,4,0,0.5471487045288086,4.042145710990716,0,0.0023791094621022544
68,Tristan da Cunha,st lucia,0.0,0.0,0.0,0.0,11,0,0.37564796209335327,1.7465283942691328,0,0.0035188059012095135
69,1 October 2013,IDK,0.0,0.0,0.0,0.0,14,0,0.3226304054260254,1.8062207856078545,1,0.0035188059012095135
70,Copeland Award,napoleon b. phelps award,0.0,0.0,0.0,0.0,16,0,0.6084433197975159,2.303645111941936,0,0.006103503704071045
71,70,IDK,0.0,0.0,0.0,0.0,3,0,0.4308320879936218,1.7687878143936884,1,0.006103503704071045
72,12,three,0.0,0.0,0.0,0.0,5,0,0.6644595861434937,3.0035010420635837,0,0.003160947561264038
73,Northwestern,harvard,0.0,0.0,0.0,0.0,10,0,0.7705649137496948,1.6967094941219691,0,0.003160947561264038
74,5,IDK,0.0,0.0,0.0,0.0,3,0,0.44628798961639404,2.404805058579522,1,0.0027148663997650147
75,Richard,edward,0.0,0.0,0.0,0.0,4,0,0.8649754524230957,1.6376182029706157,0,0.0027148663997650147
76,Southampton Plot,the conspirators,0.0,0.0,0.0,0.0,15,0,0.3558444380760193,3.0306536706355667,0,0.002829001347223918
77,the Bargate,church,0.0,0.0,0.0,0.0,9,0,0.4512759745121002,2.472480614941557,0,0.002829001347223918
78,Battle of Agincourt,battle of aix-la-chapelle,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,15,0,0.6211613416671753,1.719830776183735,0,0.005340933799743652
79,Red Lion,st john s,0.0,0.0,0.0,0.0,8,0,0.4344983994960785,3.5810558554482066,0,0.005340933799743652
80,basmati,sakura,0.0,0.0,0.0,0.0,6,0,0.3021202087402344,3.313923362989256,0,0.0041576743125915526
81,rice,a symphony,0.0,0.0,0.0,0.0,10,0,0.5648857951164246,4.181572902230496,0,0.0041576743125915526
82,Tarawih prayers,iftaar,0.0,0.0,0.0,0.0,12,0,0.3690684139728546,1.364394437957175,0,0.0032113114992777508
83,11 pm,idk,0.0,0.0,0.0,0.0,5,0,0.3448282480239868,2.3545353550841748,1,0.0032113114992777508
84,lunch,sailor,0.0,0.0,0.0,0.0,6,0,0.4932326078414917,3.66659585500041,0,0.0027677277723948163
85,two separate satellite constellations,3,0.0,0.0,0.0,0.0,37,0,0.3518906533718109,3.020343977460834,0,0.0027677277723948163
86,since 2000,IDK,0.0,0.0,0.0,0.0,10,0,0.3495994806289673,1.1526330477674547,1,0.002020941178003947
87,北斗衛星導航系統,,0.0,0.0,0.0,0.0,8,0,0.0,1.1300884209656203,0,0.002020941178003947
88,a Chinese satellite navigation system,a navigation satellite system,0.8,0.8,1.0,0.888888888888889,20,0,0.8425655961036682,2.945053150666788,0,0.004587688048680623
89,"a limited test system that has been operating since 2000, and a full-scale global navigation system",ursa minor and ursa major,0.05555555555555555,0.06666666666666667,0.25,0.10526315789473685,82,0,0.30745816230773926,1.5154669240710341,0,0.004587688048680623
90,depressed,speculative,0.0,0.0,0.0,0.0,10,0,0.8419214487075806,1.8921545667399373,0,0.003503129879633586
91,Suriname,egypt,0.0,0.0,0.0,0.0,8,0,0.6067841053009033,1.8996777588255345,0,0.003503129879633586
92,deteriorating,anomie,0.0,0.0,0.0,0.0,11,0,0.3743179738521576,3.5548050802024784,0,0.0027237613995869953
93,macroeconomic,economic,0.0,0.0,0.0,0.0,5,0,0.6462153196334839,3.2748197244720316,0,0.0027237613995869953
94,233 days or about 33 weeks,IDK,0.0,0.0,0.0,0.0,26,0,0.28122788667678833,1.7438876316936949,1,0.0025853296120961506
95,IXI,ipod,0.0,0.0,0.0,0.0,4,0,0.4353194832801819,1.9750174131673994,0,0.0025853296120961506
96,Burst.com,idk,0.0,0.0,0.0,0.0,9,0,0.37935444712638855,1.7135677327189462,1,0.0029715895652770996
97,1981,IDK,0.0,0.0,0.0,0.0,4,0,0.45156461000442505,2.2628175278936458,1,0.0029715895652770996
98,Burst.com,microsoft,0.0,0.0,0.0,0.0,9,0,0.4111021161079407,1.9540000689337191,0,0.003002105156580607
99,Kane Kramer,idk,0.0,0.0,0.0,0.0,11,0,0.5171440839767456,1.4086514572771611,1,0.003002105156580607
100,7 June 1842,1830,0.0,0.0,0.0,0.0,9,0,0.5155676007270813,8.665945208796042,0,0.0035651564598083497
101,piano technique and composition.,composition and piano technique,0.8,0.8,1.0,0.888888888888889,26,0,0.814944326877594,1.989636016083285,0,0.0035651564598083497
102,Delacroix,john f kennedy,0.0,0.0,0.0,0.0,14,0,0.3210539221763611,1.7361324580817334,0,0.005606921513875326
103,"Polonaise in A-flat major, Op. 53",a linocut,0.0,0.0,0.0,0.0,29,0,0.29616761207580566,3.2623609172344925,0,0.005606921513875326
104,Pauline Viardot,edward elgar and frank sinatra,0.0,0.0,0.0,0.0,24,0,0.35458844900131226,1.7963312025958187,0,0.00681119958559672
105,1952,IDK,0.0,0.0,0.0,0.0,4,0,0.49856066703796387,1.2658642873841761,1,0.00681119958559672
106,KJHK,ksut,0.0,0.0,0.0,0.0,4,0,0.5723226070404053,3.1911636715253033,0,0.003153767188390096
107,KUJH-LP,ksu,0.0,0.0,0.0,0.0,7,0,0.45228755474090576,4.367745096322202,0,0.003153767188390096
108,public affairs,"jazz, blues, country",0.0,0.0,0.0,0.0,16,0,0.28044426441192627,2.8436931353009847,0,0.0035517613093058267
109,KANU,ksu,0.0,0.0,0.0,0.0,4,0,0.6379131078720093,3.0732701265893745,0,0.0035517613093058267
110,Weston Mill,tavistock,0.0,0.0,0.0,0.0,10,0,0.5526421666145325,2.352296801293676,0,0.0028366903463999432
