docno,text
0,In 1983 the historic old town in the centre of Bern became a UNESCO World Heritage Site. Bern is ranked among the world’s top ten cities for the best quality of life (2010).
1,"In the 18th century, the Moroccan Sultan Moulay Ismail ""the Bloodthirsty"" (1672–1727) raised a corps of 150,000 black slaves, called his Black Guard, who coerced the country into submission."
2,"The Royal Institute of British Architects (RIBA) is a professional body for architects primarily in the United Kingdom, but also internationally, founded for the advancement of architecture under its charter granted in 1837 and Supplemental Charter granted in 1971."
3,"The India Gate built in 1931 was inspired by the Arc de Triomphe in Paris. It is the national monument of India commemorating the 90,000 soldiers of the Indian Army who lost their lives while fighting for the British Raj in World War I and the Third Anglo-Afghan War."
4,"The foundation stone of the city was laid by George V, Emperor of India during the Delhi Durbar of 1911. It was designed by British architects, Sir Edwin Lutyens and Sir Herbert Baker. The new capital was inaugurated on 13 February 1931, by India's Viceroy Lord Irwin."
5,"Jantar Mantar located in Connaught Place was built by Maharaja Jai Singh II of Jaipur. It consists of 13 architectural astronomy instruments. The primary purpose of the observatory was to compile astronomical tables, and to predict the times and movements of the sun, moon and planets."
6,"E 122nd Street runs four blocks (2,250 feet (690 m)) west from the intersection of Second Avenue and terminates at the intersection of Madison Avenue at Marcus Garvey Memorial Park. This segment runs in East Harlem and crosses portions of Third Avenue, Lexington, and Park (Fourth Avenue)."
7,"International tribunals and arbiters are often called upon to resolve substantial disputes over treaty interpretations. To establish the meaning in context, these judicial bodies may review the preparatory work from the negotiation and drafting of the treaty as well as the final, signed treaty itself."
8,"According to the preamble in The Law of Treaties, treaties are a source of international law. If an act or lack thereof is condemned under international law, the act will not assume international legality even if approved by internal law. This means that in case of a conflict with domestic law, international law will always prevail."
9,"In Hindu mythology, Yama, the god of death owns two watch dogs who have four eyes. They are said to watch over the gates of Naraka. Hunter god Muthappan from North Malabar region of Kerala has a hunting dog as his mount. Dogs are found in and out of the Muthappan Temple and offerings at the shrine take the form of bronze dog figurines."
10,"After Hurricane Katrina in 2005, Beyoncé and Rowland founded the Survivor Foundation to provide transitional housing for victims in the Houston area, to which Beyoncé contributed an initial $250,000. The foundation has since expanded to work with other charities in the city, and also provided relief following Hurricane Ike three years later."
11,"After the First World War, however, it became apparent that the number of mixed-race people was growing at a faster rate than the white population, and by 1930 fear of the ""half-caste menace"" undermining the White Australia ideal from within was being taken as a serious concern. Dr. Cecil Cook, the Northern Territory Protector of Natives, noted that:"
12,"According to Chinese state officials, the quake caused 69,180 known deaths including 68,636 in Sichuan province; 18,498 people are listed as missing, and 374,176 injured, but these figures may further increase as more reports come in.[dated info] This estimate includes 158 earthquake relief workers who were killed in landslides as they tried to repair roads."
13,"Saint Helena has the international calling code +290 which, since 2006, Tristan da Cunha shares. Saint Helena telephone numbers changed from 4 to 5 digits on 1 October 2013 by being prefixed with the digit ""2"", i.e. 2xxxx, with the range 5xxxx being reserved for mobile numbering, and 8xxx being used for Tristan da Cunha numbers (these still shown as 4 digits)."
14,"The University of Kansas has had more teams (70) compete in the National Debate Tournament than any other university. Kansas has won the tournament 5 times (1954, 1970, 1976, 1983, and 2009) and had 12 teams make it to the final four. Kansas trails only Northwestern (13), Dartmouth (6), and Harvard (6) for most tournaments won. Kansas also won the 1981–82 Copeland Award."
15,"Prior to King Henry's departure for the Battle of Agincourt in 1415, the ringleaders of the ""Southampton Plot""—Richard, Earl of Cambridge, Henry Scrope, 3rd Baron Scrope of Masham, and Sir Thomas Grey of Heton—were accused of high treason and tried at what is now the Red Lion public house in the High Street. They were found guilty and summarily executed outside the Bargate."
16,"Qado or lunch is often elaborate. Varieties of bariis (rice), the most popular probably being basmati, usually serve as the main dish. Spices like cumin, cardamom, cloves, cinnamon, and garden sage are used to aromatize these different rice delicacies. Somalis eat dinner as late as 9 pm. During Ramadan, supper is often served after Tarawih prayers; sometimes as late as 11 pm."
17,"The BeiDou Navigation Satellite System (BDS, simplified Chinese: 北斗卫星导航系统; traditional Chinese: 北斗衛星導航系統; pinyin: Běidǒu wèixīng dǎoháng xìtǒng) is a Chinese satellite navigation system. It consists of two separate satellite constellations – a limited test system that has been operating since 2000, and a full-scale global navigation system that is currently under construction."
18,"A long period of political instability has resulted in depressed economic activity, deteriorating social conditions, and increased macroeconomic imbalances. It takes longer on average to register a new business in Guinea-Bissau (233 days or about 33 weeks) than in any other country in the world except Suriname. [The Economist, Pocket World in Figures, 2008 Edition, London: Profile Books]"
19,"In September 2007, during a lawsuit with patent holding company Burst.com, Apple drew attention to a patent for a similar device that was developed in 1979. Kane Kramer applied for a UK patent for his design of a ""plastic music box"" in 1981, which he called the IXI. He was unable to secure funding to renew the US$120,000 worldwide patent, so it lapsed and Kramer never profited from his idea."
20,"During the summers at Nohant, particularly in the years 1839–43, Chopin found quiet, productive days during which he composed many works, including his Polonaise in A-flat major, Op. 53. Among the visitors to Nohant were Delacroix and the mezzo-soprano Pauline Viardot, whom Chopin had advised on piano technique and composition. Delacroix gives an account of staying at Nohant in a letter of 7 June 1842:"
21,"The university houses the following public broadcasting stations: KJHK, a student-run campus radio station, KUJH-LP, an independent station that primarily broadcasts public affairs programs, and KANU, the NPR-affiliated radio station. Kansas Public Radio station KANU was one of the first public radio stations in the nation. KJHK, the campus radio has roots back to 1952 and is completely run by students."
22,"The mid-19th century burial ground at Ford Park Cemetery was reopened in 2007 by a successful trust and the City council operate two large early 20th century cemeteries at Weston Mill and Efford both with crematoria and chapels. There is also a privately owned cemetery on the outskirts of the city, Drake Memorial Park which does not allow headstones to mark graves, but a brass plaque set into the ground."
23,"At the end of the Second Anglo-Dutch War, the English gained New Amsterdam (New York) in North America in exchange for Dutch control of Run, an Indonesian island. Several intertribal wars among the Native Americans and some epidemics brought on by contact with the Europeans caused sizable population losses for the Lenape between the years 1660 and 1670. By 1700, the Lenape population had diminished to 200."
24,"On leaving the University of Oxford, in 1676, Edmond Halley visited Saint Helena and set up an astronomical observatory with a 7.3-metre-long (24 ft) aerial telescope with the intention of studying stars from the Southern Hemisphere. The site of this telescope is near Saint Mathew's Church in Hutt's Gate, in the Longwood district. The 680-metre (2,230 ft) high hill there is named for him and is called Halley's Mount."
