qid,question,True Answer,Predicted Answer,Haluccinot
0,Do director of film Chandirani and director of film Not Without Gisela have the same nationality?,no,no,NOHALU
1,Who is the father of the performer of song Breaking News (Song)?,Joseph Jackson,David Bowie,NOHALU
2,"Which film came out first, Fifty Fathoms Deep or Cool Breeze (Film)?",Fifty Fathoms Deep,Cool Breeze,NOHALU
3,When is Karl Johann Von Königsmarck's father's birthday?,24 March 1634,1 April 1858,NOHALU
4,What is the award that the director of film Young Eagles (Film) won?,Academy Award for Best Story,Academy Award for Best Director,NOHALU
5,Do both films Amba Ambika Ambalika and Ernest Goes To Camp have the directors from the same country?,no,no,NOHALU
6,Where was the place of death of the director of film Master Stroke?,Rome,New York City,NOHALU
7,Are director of film Cosmonaut (Film) and director of film The Scientific Cardplayer from the same country?,yes,no,NOHALU
8,When is the director of film Buried Treasure (1921 Film) 's birthday?,"April 22, 1868","December 31, 1888",NOHALU
9,"Do both films, The Trail Of The Lonesome Pine (1923 Film) and La Torre De Suso, have the directors who are from the same country?",no,no,NOHALU
10,Are the directors of films My Sister Eileen (1955 Film) and The Gun That Won The West both from the same country?,yes,no,NOHALU
11,Where was the place of death of the director of film Beyond Justice?,Rome,New York City,NOHALU
12,"Who was born first, Erland Van Lidth De Jeude or David Tatham?",David Tatham,David Tatham,NOHALU
13,"Did the bands Band Of Gold (Band) and The Domino State, originate from the same country?",no,no,NOHALU
14,Why did Nona Gaye's father die?,shot,he was shot,fHALU:0.9805
15,When did the performer of song G.I. Jive die?,"June 25, 1976","December 31, 2003",NOHALU
16,What is the date of death of the director of film Spitfire (1934 Film)?,"September 26, 1979",8 November 2012,fHALU:0.9336
17,"Which film has the director who was born earlier, Honor Of The West or A Esposa Do Solteiro?",A Esposa Do Solteiro,A Esposa Do Solteiro,NOHALU
18,Are Long Branch (Troublesome Creek) and Jenipapo River both located in the same country?,no,no,NOHALU
19,What is the place of birth of the director of film The Condemned 2?,Dutch,London,NOHALU
20,"Which film has the director died first, Eleni (Film) or Hunted Men?",Hunted Men,Hunted Men,NOHALU
21,Which country the director of film Superfly (2018 Film) is from?,Canadian,United States,NOHALU
22,Do director of film The Somme (film) and director of film Tiger Thompson have the same nationality?,no,no,NOHALU
23,"Which film was released first, Different From The Others or Connecting Rooms?",Different From The Others,Different From The Others,NOHALU
24,Did Bruno Teles and Hadley Caliman share the same nationality?,no,no,NOHALU
25,What is the date of death of the director of film Once Before I Die?,"May 22, 1998","December 31, 2008",NOHALU
26,Are Incheh Salah-E Olya and Ameixial located in the same country?,no,no,NOHALU
27,Who is the father of the director of film Missing Women (Film)?,Francis Ford,John Ford,NOHALU
28,"Are both Ingur Railway Station and Colo Vale Railway Station, New South Wales located in the same country?",no,yes,NOHALU
29,Are General Vanier Intermediate School and Ormeau Woods State High School both located in the same country?,no,no,NOHALU
30,What is the date of death of the director of film Shocking Asia?,3 April 1998,29 December 2012,NOHALU
31,"Who was born earlier, Joseph Peter Kinneary or Nando (Footballer, Born May 1967)?",Joseph Peter Kinneary,Joseph Peter Kinneary,NOHALU
32,"Are both museums, Aksaray Museum and Jim Gatchell Memorial Museum, located in the same country?",no,no,NOHALU
33,Which country the composer of film Miss 420 is from?,India,Austria,NOHALU
34,Are both Bullarto Railway Station and Harestua Station located in the same country?,no,no,NOHALU
35,Are the directors of both films Jetpiloter and Life Itself (2018 film) from the same country?,no,no,NOHALU
36,Do both Something Always Happens and The Great Impersonation (1921 film) films have the directors from the same country?,no,no,NOHALU
37,"Which film has the director born earlier, Songs And Saddles or The Poor Little Rich Girl?",The Poor Little Rich Girl,Songs And Saddles,NOHALU
38,Do both films: The Ex-Mrs. Bradford and The Star Of Santa Clara have the directors from the same country?,no,no,NOHALU
39,Does Yann Pivois have the same nationality as George W. Sarbacher Jr.?,no,no,NOHALU
40,Was Cian O'Sullivan or Sexy Cora born first?,Sexy Cora,Sexy Cora,fHALU:0.9141
41,"Are Zamanabad, Chaharmahal And Bakhtiari and Ashkuh both located in the same country?",yes,no,NOHALU
42,Who is the father of the performer of song The House That Jack Built (Song)?,C. L. Franklin,Jack Johnson,NOHALU
43,Do both films Happy Day (Film) and El Misterioso Señor Marquina have the directors from the same country?,no,no,NOHALU
44,"Which country the composer of film At Last, Okemah! is from?",American,Ghana,fHALU:0.9062
45,When was the director of film Battles Of Chief Pontiac born?,"February 28, 1910","August 30, 1931",NOHALU
46,Where was the place of death of the director of film De Blaa Drenge?,Copenhagen,Amsterdam,NOHALU
47,Who is the spouse of the director of film Twilight (1945 Film)?,Rosenda Monteros,Judith,NOHALU
48,Do director of film Miss Lovely and director of film Good Will Hunting have the same nationality?,no,no,NOHALU
49,Who is the spouse of the director of film Three Monkeys?,Ebru Ceylan,Yvonne Strahovski,NOHALU
50,Do both directors of films The French Lieutenant'S Woman (Film) and The Arrest Of A Pickpocket have the same nationality?,no,no,NOHALU
51,Are the directors of films Disturbia (film) and Nemesis (1992 film) both from the same country?,yes,no,NOHALU
52,Do both The Buccaneer (1938 Film) and Law Abiding Citizen films have the directors from the same country?,yes,no,NOHALU
53,When is the director of film Seven Psychopaths 's birthday?,26 March 1970,"December 31, 1939",NOHALU
54,"Are the movies God'S House (Film) and Natural Selection (2011 Film), from the same country?",yes,no,NOHALU
55,"Are both villages, Halvehhani and Aq Bolagh, Qazvin, located in the same country?",yes,no,NOHALU
56,"Which film was released more recently, Murder Obsession or Cuore Sacro?",Cuore Sacro,Cuore Sacro,fHALU:0.8125
57,Who is the child of the director of film Kaala Rathri?,K. S. G. Venkatesh,Prithviraj,NOHALU
58,Are Lyons Township High School and Lisbon High School (Maine) both located in the same country?,yes,yes,NOHALU
59,Where was the composer of film Avidathe Pole Ivideyum born?,Kerala,ód,NOHALU
60,When was the director of film Way For A Sailor born?,"July 10, 1883","August 29, 1931",NOHALU
61,When is George Lamb (Politician)'s father's birthday?,29 January 1745,1 July,NOHALU
62,Are director of film Desde Que Amanece Apetece and director of film The Last Survivors from the same country?,no,no,NOHALU
63,Who is Wenceslaus Of Krosno's paternal grandfather?,Henry V of Iron,king charles ii,NOHALU
64,Are the directors of both films Mayuri (Film) and California (1947 Film) from the same country?,no,no,NOHALU
65,"Which film has the director died first, Forbidden Paths or Little Man, What Now? (1933 Film)?",Forbidden Paths,Forbidden Paths,fHALU:0.8242
66,"Were Sonny Curtis and Archibald Douglas, 1St Duke Of Douglas of the same nationality?",no,no,NOHALU
67,Where was the place of death of the director of film The Countess Of Paris?,Hollywood,Paris,NOHALU
68,Who is the mother-in-law of Andrew Murray (Scottish Soldier)?,"Marjorie, Countess of Carrick",elizabeth ii,fHALU:0.7852
69,Where was the composer of film Marikkunnilla Njan born?,Kulathupuzha,Chennai,NOHALU
70,Are Sozar Subari and Julián Vara from the same country?,no,no,NOHALU
71,Do both films: Spain Again and Suburbicon have the directors from the same country?,no,no,NOHALU
72,Are Whole Wheat Bread (band) and Dreamscape (band) both from the same country?,no,no,NOHALU
73,Are Lords Lake (South Dakota) and Lough Gill located in the same country?,no,no,NOHALU
74,Which country the performer of song I'Ve Found A New Baby is from?,American,Canada,NOHALU
75,Are Berkeh-Ye Khalaf and Rostam Beyg located in the same country?,yes,no,NOHALU
76,Where was the place of burial of the performer of song First In Line (Song)?,Graceland,St. Paul's Cathedral,NOHALU
77,What is the date of death of the director of film Rhodes Of Africa?,24 September 1953,"December 31, 2008",NOHALU
78,Do both films: Betty Of Greystone and Kaadhal Kavithai have the directors from the same country?,no,no,NOHALU
79,Are both Kandry and Salash-E Disam located in the same country?,no,no,NOHALU
80,Do both directors of films Blücher (film) and The Good Old Soak have the same nationality?,no,no,NOHALU
81,When did the director of film Radha Kalyanam (1981 Film) die?,31 August 2014,8 November 2012,NOHALU
82,"Which film has the director born earlier, Aapo (Film) or The White God?",The White God,The White God,fHALU:0.9648
83,Where was the place of burial of the performer of song First In Line (Song)?,Graceland,St. Paul's Cathedral,NOHALU
84,Where was the director of film Ninì Tirabusciò: La Donna Che Inventò La Mossa born?,Rome,Buenos Aires,NOHALU
85,When did the director of film Her Own Free Will die?,17 January 1954,"January 1, 2003",NOHALU
86,Do director of film The Subject and director of film La Terrazza share the same nationality?,no,no,NOHALU
87,"Which film has the director born earlier, Blonde Ice or Shadow (1956 film)?",Blonde Ice,Blonde Ice,fHALU:0.9375
88,Which country the director of film A Mighty Heart (Film) is from?,British,American,NOHALU
89,"Which film came out first, Sluttish (Film) or The Straight Way?",The Straight Way,The Straight Way,NOHALU
90,Which country the performer of song Soldier (Neil Young Song) is from?,Canadian,Canada,NOHALU
91,"Which film was released more recently, Die schöne Lurette or Sabhash?",Sabhash,Sabhash,NOHALU
92,"Are Shaveh, Markazi and Brajićevići located in the same country?",no,no,NOHALU
93,Where was the place of death of Archduchess Anna Of Austria's husband?,Munich,Vienna,NOHALU
94,Where did Christopher Chaplin's mother graduate from?,Brearley School,harvard law school,fHALU:0.9531
95,"Which film has the director born first, Twilight On The Rio Grande or Sound Of The Desert?",Twilight On The Rio Grande,Twilight On The Rio Grande,NOHALU
96,Where did the director of film The Right Of The Strongest die?,Los Angeles,New York City,NOHALU
97,Where did the director of film Outwitted (1925 Film) die?,Hollywood,New York City,NOHALU
98,"Who died first, Dallas Pratt or Arthur James Armstrong?",Dallas Pratt,Dallas Pratt,fHALU:0.7539
99,"Do both films, Laali and Gayby, have the directors who are from the same country?",no,no,NOHALU
100,"Which film has the director who died first, Sos Pacific or Amores De Ayer?",Amores De Ayer,Amores De Ayer,NOHALU
101,Do both films: The Island (2011 film) and The Insider (film) have the directors from the same country?,no,no,NOHALU
102,What is the date of birth of the performer of song Irma Jackson?,"April 6, 1937","May 30, 1931",NOHALU
103,When was the director of film The Vampire'S Ghost born?,"May 26, 1900","December 30, 1931",NOHALU
104,Are director of film Sthree Sahasam and director of film That Malicious Age both from the same country?,no,no,NOHALU
105,What is the place of birth of the director of film Zero (1928 Film)?,Wimborne,New York City,fHALU:0.7305
106,What is the place of birth of the director of film Zero (1928 Film)?,Wimborne,New York City,fHALU:0.7305
107,When did the director of film Sathruvu die?,22 February 2019,"December 31, 2013",NOHALU
108,Where was the director of film Clear The Decks born?,"Omaha, Nebraska",New York City,NOHALU
109,Are both McLeod River (British Columbia) and Waikare River (Northland) located in the same country?,no,no,NOHALU
110,Do both films: Desde Que Amanece Apetece and Danton (1921 Film) have the directors from the same country?,no,no,NOHALU
111,Which award the performer of song Haunt Me received?,Grammy Award for Best New Artist,Grammy Award,NOHALU
112,What is the date of birth of the director of film Just Like Heaven (Film)?,"June 30, 1964","December 30, 1939",NOHALU
113,"Are Kaj Kolah, Zanjan and Nurabad, Shazand both located in the same country?",yes,no,NOHALU
114,Are Rudy Halmaert and Han Xin of the same nationality?,no,no,NOHALU
