qid,question,True Ans,M_RAG,IsSpan
7,What did he call his slave army?,Black Guard,C.S. troops,1
13,When was RIBA's founding document expanded?,1971,IDK,0
24,On what date was New Delhi inaugurated?,13 February 1931,1931,1
47,What is the name of the god of death?,Yama,Tlloc,0
63,How many died in Sichuan?,"68,636",IDK,0
64,How many deaths were reported?,"69,180",IDK,0
77,Outside of what structure did the execution of the Southampton Plot leaders take place?,the Bargate,IDK,0
84,What is the English word for qado?,lunch,IDK,0
95,What was the name of the previously-patented music player from 1981?,IXI,IDK,0
104,Which of the two people that visited Chopin were tutored by him on piano?,Pauline Viardot,Liszt,1
106,What is the name of the station operated by KU students?,KJHK,WCBN-FM 88.3,1
112,What is the name of the private cemetery in Plymouth?,Drake Memorial Park,IDK,0
136,In what city and state is the Arena Football League based?,"Chicago, Illinois",Denver Dynamite,1
137,When was the first AFL season played?,1987,IDK,0
140,The oldest section of the original wall around the town dates from what year?,1175,1086,1
143,Who led the invasion of Southampton in the 14th century by the French and others?,Charles Grimaldi,IDK,0
146,What was the name of the video game?,Starpower: Beyoncé,Ridge Racer 7,1
147,When did Beyonce begin her deals with name brands?,since the age of 18,IDK,0
148,When was the disagreement settled out of court?,June 2013,IDK,0
159,What instruments did disco songs incorporate from house music?,synthesizers and drum machines,IDK,0
160,What is the basic difference between the dialects?,pronunciation,"Hokkien dialects are analytic; in a sentence, the arrangement of words is important to its meaning",1
170,What was recognized about Chopin from his musical peers?,qualities as a pianist and composer,respect,1
177,What notable event occurs each August?,British Firework Championships,libel lawsuit,1
179,In what year did the Music of the Night begin?,1992,IDK,0
182,What type of information is disseminated through What's New?,news,IDK,0
183,At what event did Sony announce What's New?,Gamescom,IDK,0
185,What's geographical area does What's New tailor information to for each user?,region,IDK,0
190,Where were the internet cut?,Sichuan area,IDK,0
194,What services were finally online again?,major news and media,IDK,0
221,Until what date was Swaziland bound by umchwasho?,19 August 2005,IDK,0
222,Who became bound by umchwaso in Swaziland?,all young girls,IDK,0
223,What occurs during the custom of umchwaso in Swaziland?,"If any girl became pregnant outside of marriage, her family paid a fine",IDK,0
226,What was the name of the humorous feature penned by Wolverton?,"""Powerhouse Pepper""",IDK,0
227,What cartoon humorist did some high profile stories for Marvel in the early years?,Basil Wolverton,IDK,0
228,What early Marvel character may have been envisioned as a female counterpoint to Captain America?,Miss America,IDK,0
229,Where was the first place the FlaK 36 was used?,Spain,the Luftwaffe,1
230,What war was the FlaK first used in?,Spanish Civil War,World War I,1
239,Evidence of the earliest humans were found in what subterranean formation?,Petralona cave,Middle Jurassic,1
241,How many teams competed that year? ,731 teams entered that season,the same number of teams competed in the top flight,1
247,What FA cup season did this take place in? ,2007–08 competition,2010–11 to 2012–13 season,1
248,What level where they? ,playing at Level 8 of English football,300 to 350 feet (90 to 110 m) below the contemporary level,1
255,What is the oldest written document about Freemasonary?,Regius Poem,IDK,0
261,"The eastern river bears the name of the Native American Tribes that once live in New Haven, what is the name?",Quinnipiac,Quinnipiac River,1
262,These two harbors are part of what estuary?,Long Island Sound.,Newtown Creek,1
280,When were albums as we currently know them widely released?,1930s,IDK,0
281,How many songs did most albums contain?,six or eight,IDK,0
282,What reputation does machine translations have?,frequent inaccuracy,prone to error,1
332,What political movement was Paul VI criticized for having a relationship with?,Communism,ecumenism,1
356,In which region of the state did culture develop?,northern,IDK,0
368,The Jornado painted onto what surface?,rock,wood,1
369,Along which river did they hunt bison?,Rio Grande,IDK,0
380,What is more important for a textual critic: quality or quantity?,"Readings are approved or rejected by reason of the quality, and not the number, of their supporting witnesses",quality,0
382,Does ease of reading correlate to accuracy in relation to the original text?,"""The reading is to be preferred that most fitly explains the existence of the others.""",IDK,0
384,What is the criteria needed to include or dismiss a reading when critiquing texts?,The reading is to be preferred that most fitly explains the existence of the others.,pertained to how a woman could become a successful wife and household manager,1
415,What was the last British colony remaining in Africa?,Southern Rhodesia,Rhodesia,1
421,What has happened to the legislative power?,legislative power from the king to the Sejm.,granted legislative power over the protection of intellectual property (Schutz des geistigen Eigentums) to the confederation,1
422,What happened to the notabilities political position?,greatly strengthened,weakened Buddhism's position within the sociopolitical context and helped make possible its decline,1
439,What kind of temples were built for Hindu Gods?,monumental,Hindu temples,1
444,What is an application of varactors?,phase-locked loops,IDK,0
457,When did Protestantism begin to split?,the mid-to-late 16th century,IDK,0
458,What was one of the main causes of the split in Protestantism?,controversy over the Eucharist,IDK,0
461,Insects notice what type of movement?,minute,rapid,1
469,What does the number 2N1301 indicate?,a p–n–p germanium switching transistor,IDK,0
473,In what year were big changes made to the ANSI?,1960,IDK,0
476,What problem do many police forces have?,corruption,cost-benefit argument to obtain support from businesses standing to benefit,1
478,What problem do many police forces have?,corruption,cost-benefit argument to obtain support from businesses standing to benefit,1
486,What was the bestselling drug in history?,Lipitor,IDK,0
490,What was the name of the second single called?,Burning Up,IDK,0
494,"When was ""Everybody"" released?",October 1982,IDK,0
508,Who rejected the peace gesture?,Rhee,"Israel, the PLO, and most Arab states except Jordan",1
517,What was the house of king George II?,Hanover,Buckingham Palace,1
522,Different things could affect what with the shell?,predicted trajectory,protests,1
524,Which newspaper did the The Sun on Sunday take the place of?,News of the World,The Sun,1
527,What percentage of the Christian population is Catholic?,38.21%,half of the national average,1
554,With whom was he said to have conspired?,Ángel Trías,"the chief priests, with the scribes and elders",1
563,Who led the 4th division?,John A. Quitman,IDK,0
564,When did the castle fall?,on September 13,IDK,0
566,What treaty was signed?,Guadalupe Hidalgo,IDK,0
571,What country was Burma a colony of ?,British,British,1
580,Which party dominated South Carolina's state legislature?,Democrat,Confederacy,1
581,What year was a new constitution passed that discriminated against blacks were passed?,1896,1900,1
582,Blacks were the majority in South Carolina until what year?,1930,IDK,0
597,What were common duties of younger servant students?,"cleaning, cooking, and running errands",IDK,0
619,Who did Bell take on to work with him?,Thomas Watson,IDK,0
622,What government organization investigated details of this acquisition?,the U.S. Federal Communications Commission,IDK,0
624,What name was given to the telephone that sort of worked?,gallows,IDK,0
635,When did Tibet and China sign a peace treaty?,821/822 CE,821,1
649,What configurations can bacteria can bacteria take?,spheres to rods and spirals,relatively small molecules,1
651,How much did the occurrence of serious diseases shortly after the release of the measles vaccine?,>95%,IDK,0
672,Who was the first president of Washington University?,Eliot,IDK,0
686,What are possessed individuals known as? ,ghorala,IDK,0
688,What did women commonly have less of?,rights,headscarves,1
689,What type of extreme punishment was likely to be laid upon those who committed the harshest of crimes?,death by beheading,death,1
700,"Which time period came into the spotlight, during the fall of 2004?",the late 1960s and early 1970s,2004–2005 season,1
707,What siblings did Nasser have?,two more boys,IDK,0
711,What was one game Sony debuted on a modified PC so gamers could get a look?,Metal Gear Solid 4: Guns of the Patriots,IDK,0
715,What popular game was demoed in a video at the game shows?,Final Fantasy VII,IDK,0
726,What event did Sony choose for the PS3 unveiling?,E3 2005,IDK,0
734,What does the Combat V mean?,heroic achievement,IDK,0
760,Who performs research for Bond?,Moneypenny,Q,1
770,How does the numbers in the gay community rank compared to other US cities?,second-highest,IDK,0
775,What was the largest empire the world had seen at the time it existed?,the Achaemenid Empire,Achaemenid Empire,1
777,What was the first world goverment the world had seen at the time it existed?,the Achaemenid Empire,Roman Empire,1
808,What is hightened during migration?,Predation,The international migration is fluctuating heavily,1
812,What equation did Feyman derive?,Einstein field equation of general relativity,Feynman path integral formulation,1
813,What did Feynman's discoveries help explain?,Yang–Mills theories,the yield of a fission bomb,1
815,How many tourists come to Miami each year?,38 million,IDK,0
816,How much money do tourists spend in Miami every year?,$17.1 billion,IDK,0
822,How does White deal with his condition?,commits suicide,IDK,0
828,Where is the L'Americain hotel?,Tangier.,IDK,0
829,Where is L'Americain located?,Tangier,IDK,0
840,How many sunny days does New York average each year?,234,IDK,0
851,What county is Tuscon located in?,Pima County,IDK,0
853,What was the population of Tuscon in 2006?,"535,000",IDK,0
867,What type of history period is often neglected in Indian histories?,social-economic,Pre-sectarian Buddhism,1
868,What type of conquests were gradual in nature?,Muslim conquests,non-fictional,1
872,What is the main European basketball club?,the Euroleague,AEK Athens,1
881,Who did Apple partner with to monitor its labor policies?,Verité,independent auditors,1
882,Where was the Foxconn plant located?,"Longhua, Shenzhen",IDK,0
890,Who wanted to take over North Korea?,Syngman Rhee,IDK,0
905,How many atolls are part of the Marshall Islands?,29,IDK,0
906,What United States territory does the Marshall Islands claim?,Wake Island,free association,1
913,What nation lies to the west of the Marshall Islands?,the Federated States of Micronesia,American,1
921,"Instead of what predators eat, how else can they be classified?",the way in which they eat,IDK,0
923,Proximity and the ending of life is called? ,true predation,IDK,0
937,Who wrote the music for 'Into the West'?,Geoff Zanelli,IDK,0
938,When was 'The Pacific' released?,2010,IDK,0
939,How many Emmys did 'Into the West' win?,two,IDK,0
940,When did 'Into the West' air?,2005,IDK,0
946,What boat did Bell travel on?,SS Nestorian,IDK,0
947,How old was Bell when he went to Canada?,23,IDK,0
948,In what Canadian city did Bell first arrive?,Quebec City,IDK,0
951,What is used a main source of light for a building during the day?,Daylighting,light bulb,1
955,What an is an example of a green mineral?,emerald,malachite,1
959,Which season is green most commonly associated with?,springtime,field,1
960,How did the Thames River Police pay their employees?,"full-time, salaried officers prohibited from taking private fees","£4,200",1
969,What complaint did Elliot have about Kerry's actions?,beaching the boat without orders,IDK,0
973,What schedule did the Thames River Police employees work?,full-time,IDK,0
976,What was the second reform?,the conscription of every male,restructure the school system,1
980,What does J.C.B. stand for?,Juris Canonici Baccalaureatus,IDK,0
981,What profesional roles from secular law does the Catholic Church also employ?,"lawyers, judges",IDK,0
983,What is not present in the Catholic legal system as compared with non-religious law?,civilly-binding force,IDK,0
984,What is the English equivalent of the term abbreviated by J.C.B.?,Bachelor of Canon Law,bitumen,1
985,What were the first schools to become integrated at Washington University? ,the School of Medicine and the School of Social Work,St. Louis Medical College,1
993,What terms are often linked to people who illegally use or distribute content that is not their own?,piracy and theft,illegally,1
1011,In what year did the first cinema theater open in Greece?,1907,IDK,0
1016,How high could the temperatures have risen to cause the melting?,5 °C,250 °C,1
1024,How many forklift are available for use in it everyday production?,26,IDK,0
1025,How many transport vehicle can the harbor actually hold?,200,IDK,0
1029,In what harbor is the Port of New Haven located?,New Haven Harbor,New Haven Harbor,1
1033,With whom did Eisenhower try to improve relations?,American scientists,Truman,1
1045,Which two groups followed the first inhabitants?,Visigothic and the Suebi Germanic peoples,Amnesty International against Shell and Friends of the Earth Netherlands,1
1046,Who were the first inhabitants of Portugal?,The Celts and the Romans,IDK,0
1053,What program with a direction in its name does the BBC broadcast from Southampton?,South Today,IDK,0
1056,Who establishes the doctrines of the Jehovah's Witnesses?,the Governing Body,God,1
1060,How does Melbourne's skyline rank in terms of other skylines in Australia?,second largest,IDK,0
1070,How much did the SNES cost in the US?,US$199,IDK,0
1074,How much did the SNES cost in the UK?,GB£150,IDK,0
1084,What could you call someone who lives in Southampton?,Sotonian,British,1
1086,What two languages have the possibility for significant mutual intelligibility?,Italian and Spanish,Parthian and Sogdian,1
1095,Who's control did the Chinese Communists escape in the 1930's?,Chiang Kai-shek,IDK,0
1099,What may have been North Korea's goal in the way they rapidly withdrew from South Korea?,launch guerrilla raids,IDK,0
1105,Who created the Ming Dynasty? ,Zhu Yuanzhang,IDK,0
1112,When did Britain retake the Falkland Islands?,1982,Falklands War,1
1114,From whom did Britain retake the Falkland Islands?,Argentina,Argentina,1
1116,Short range missiles are replacing what weapons?,autocannons,anti-radiation,1
1127,The advancement of agriculture made what possible?,a surplus of food,IDK,0
1131,Who lived at Buckingham Palace during WWI?,King George V and Queen Mary,George VI,1
1132,Where were valuable items from Buckingham Palace taken during WWI?,Windsor,IDK,0
1134,Buckingham Palace was untouched during which war?,World War I,IDK,0
1135,When did Julius Caesar die?,March 44 BC,IDK,0
1151,What album made her a worldwide known artist?,Dangerously in Love,Sticky & Sweet,1
1154,When did Beyonce start becoming popular?,in the late 1990s,IDK,0
1156,What kind of transportation network helped encourage keeping more exact schedules?,rail,IDK,0
1167,From where does the phrase humanist originate? ,the 15th century,IDK,0
1184,Why were some multiracial children sent to Europe?,for their education,IDK,0
1188,On which island in Tuvalu is the hospital?,Funafuti,IDK,0
1209,What part of Detroit still has high population density??,Midtown,suburbs,1
1235,What was the only city the Chinese allowed the Europeans into to trade?,Canton,IDK,0
1236,What country near China did the Europeans first control?,India,Indonesian,1
1238,Which empires grew during the 18th century?,European states,British,1
1251,What was one of  the conclusions of the U.S. Financial Crisis Inquiry Commission regarding the financial crisis of 2007?,the crisis was avoidable and was caused by: widespread failures in financial regulation,dates the crisis to 2008.,1
1298,Which art was important in religious symbolism and as a decoration in the Ottoman empire?,carpet weaving,Byzantine art,1
1321,When is King Mom symbolically burnt?,On the evening before Lent,IDK,0
1329,Who was present when Barcelona beat Real Madrid in 1968?,Franco,IDK,0
1335,Who was the only Arab leader not to attend Nasser's funeral?,Saudi King Faisal,IDK,0
1337,At what landmark did the funeral procession begin?,the old RCC headquarters,Père Lachaise Cemetery,1
1354,By what other name is abstract expressionism known?,the New York School,major American cultural movements,1
1363,In what location was Islam born?,the Arabian Peninsula,IDK,0
1376,How much natural gas reserves does Iran have?,33.6 trillion cubic metres,largest,1
1381,The Russo-Turkish War resulted in what treaty?,Treaty of Küçük Kaynarca,Treaty of Belgrade,1
1383,Near what region was Balta bording?,Bessarabia,Middle East,1
1388,What was Beyonce's third perfume named?,Pulse,IDK,0
1396,What's the name of the river that marks a dialect divide in the Netherlands?,IJssel,Rhine,1
1421,Which of the United States is Boston located in?,Massachusetts,New England,1
1427,Which of the the poles is colder?,Antarctica,IDK,0
1429,How high is the continent of Antarctica above sea level?,"3,000 m",IDK,0
1438,How long have ducks possibly been in domesticated domicile with humans?,Clay models of ducks found in China dating back to 4000 BC may indicate the domestication of ducks took place there during the Yangshao culture,IDK,0
1444,In 2010 how many movies did youtube's rental service offer?,"over 6,000 films",IDK,0
1449,What could cause the failure of a capacitor?,when subjected to voltages or currents beyond their rating,Destructive testing,1
1452,Aphis have asexual and sexual what?,reproduction,IDK,0
1461,What are some examples of how a noble person should look before Christians came?,dark skin and ample bodies,IDK,0
1464,What did westerners call the women of Hawaii?,Hawaiian squaws,IDK,0
1475,Which insect manufactures it's own toxins?,Lepidoptera,IDK,0
1478,Insects become toxic by doing what with the chemicals from plants?,sequestering,IDK,0
1522,What is the main feature of a supercapacitor?,Supercapacitors store large amounts of energy,IDK,0
1527,What is one type of material with which a supercapacitor may be constructed?,carbon nanotubes,IDK,0
1535,What is the final of the three steps of Freemasonry?,Master Mason,IDK,0
1550,Where did Athanasius think Faith resides?,within you,Trinity,1
1551,Did he think that the people that had exiled him were true believers?,outside of the true Faith,IDK,0
1553,Did Athanasius feel that it was important to believe that Jesus was the Son of God?,not optional but necessary,"Arian position that the Son of God, Jesus of Nazareth, is of a distinct substance from the Father",1
1556,When does infection begin?,"when an organism successfully enters the body, grows and multiplies.",tissue is injured,1
1564,How are the Canadian forces ranked in size compared to other military?,74th in size,IDK,0
1565,What is Today's annual cost of the Canadian Forces?,approximately $20.1 billion,IDK,0
1568,What is the total force of the Canadian Forces?,"approximately 119,000",IDK,0
1572,How do the wrestlers treat the audience?,The audience is recognized and acknowledged by the performers as spectators,IDK,0
1574,What kind of conflict can arise during a show?,"Often, individual matches will be part of a longer storyline conflict between ""babyfaces"" (often shortened to just ""faces"") and ""heels"".",IDK,0
1584,What are middle powers?,"those nations which exercise a degree of global influence, but are insufficient to be decisive on international affairs",IDK,0
1601,What are pesticides most commonly used for?,The most common use of pesticides is as plant protection products,controlling pests,1
1602,"What item commonly used in hospitals, schools and offices is a pesticide?",sanitizer,IDK,0
1606,Who lost the Battle of Kings Mountain in South Carolina?,the British Army,British troops,1
1613,Who was Hart's writing partner?,Harrigan,IDK,0
1620,In what year was an England football match aired only via the internet for the first time?,2009,IDK,0
1629,Commentated broadcasts of all England matches air on what network?,BBC Radio 5 Live,BBC,1
1641,What is the Lincoln Theater downtown?,one of several clubs in downtown Raleigh that schedules many concerts,IDK,0
1642,Where are major touring acts hosted in the city?,The Time Warner Cable Music Pavilion,Nuffield Theatre,1
1643,What event plaza is in Cary?,Koka Booth Amphitheatre,IDK,0
1645,What's on the other side of the East River from the Bronx?,Queens,City Island,1
1650,Of what does Vaisesika philosophy say the things are made ?,atoms,IDK,0
1651,What state is Alpine in?,New Jersey,IDK,0
1672,"Though the Green is the popular center of the city, there is another district, what's the name?",central business district,Thirty-Sixth District Court,1
1683,The weatern part of North Carolina is part of what mountain range?,Appalachian Mountain range,Appalachian Mountains,1
1686,What is one type of Benedictine order that was common in France?,Cistercian Orders,IDK,0
1690,How do receive information from the physical world?,messages transmitted along the nerves to the seat of consciousness,IDK,0
1692,"According to the author, who would have particular trouble in accepting that reality is fundamentally mental?",physicist,physicalist and dualist theories,1
1693,What type of consciousness is similar but not identical to consciousness itself?,subconsciousness,the sensation of yellow,1
1694,What is the main thing that we experience?,mind,language-learning,1
1703,What did Nasser want to use the agreement to do?,recapturing the Suez Canal,IDK,0
1713,What was basic facet of Roman religious experience?,Change,IDK,0
1718,What year did Melbourne resign?,1839,1912,1
1730,What are the main types of public transportation?,"bus, taxi and metro systems",mass transit,1
1738,How many companies are involved with the network of buses?,three companies,IDK,0
1739,When does the Premier League have its playing season?,During the course of a season (from August to May),IDK,0
1756,When was the Suez Canal nationalized?,July 1956,IDK,0
1758,Who became British Prime Minister after Winston Churchill?,Anthony Eden,IDK,0
1764,What would you call a microbrewery that also has a restaurant or a pub?,brewpub,IDK,0
1783,Respiration for insects happens without what?,lungs,IDK,0
1787,What can be worn in cold winter weather?,Approved parkas,IDK,0
1791,What century did King Charlemagne reign? ,9th,IDK,0
1795,Which actor portrayed Franz Oberhauser?,Christoph Waltz,IDK,0
