qid,question,True Ans,M_RAG,IsSpan
6,Which country the director of film The Military Man is from?,French,IDK,0
18,Which country the director of film First Of May (1958 Film) is from?,Argentine,Syria,1
19,Where was the director of film House In The Sun born?,Béziers,IDK,0
36,Which country the director of film Almost Married (1919 Film) is from?,German,Austria,1
42,"Which film came out earlier, Without The King or We Are Legion?",Without The King,Without The King,0
50,What is the place of birth of the director of film The First Monday In May?,American,IDK,0
53,"Which film has the director born later, For The Service or The Flight From Love?",For The Service,The Flight From Love,0
65,What is the place of birth of the director of film Appointment Of Love?,Cairo,IDK,0
75,Do director of film Hellé (Film) and director of film S.O.S. Noronha share the same nationality?,yes,yes,0
92,What nationality is the composer of film This Love Of Ours?,Austrian,IDK,0
101,Where was the director of film The Last Bridge born?,Düsseldorf,IDK,0
106,Do both Who Hesitates Is Lost and Snapshot Of A Crime films have the directors from the same country?,yes,no,1
110,Who is the father of the director of film My 20Th Century?,György Enyedi,IDK,0
124,Which country the director of film The Last Time I Committed Suicide is from?,New Zealand,IDK,0
151,What nationality is the director of film Who Loved Him Best??,Canadian,IDK,0
153,Are director of film 11:14 and director of film Born That Way (Film) both from the same country?,yes,no,1
196,Where was the director of film Life Classes born?,St. John's,IDK,0
211,Where was the director of film Dark Valley born?,Valparaíso,IDK,0
212,Where was the director of film Nothing Funny born?,Kraków,IDK,0
237,What nationality is the director of film Never Die Young (Film)?,Luxembourgish,IDK,0
241,What is the place of birth of Lupe Rumazo's father?,Latacunga,Latacunga,1
246,Where was the director of film No Way Home born?,New York,IDK,0
299,Where was the place of death of the director of film To Live In Peace?,Rome,Paris,0
310,Where was the director of film Duke'S Son born?,Liverpool,IDK,0
318,Where did the director of film Barry (1949 Film) die?,Le Plessis-Bouchard,IDK,0
360,Where did the director of film The Black Star (Film) die?,Argentina,IDK,0
367,Where was the director of film The Half-Way Girl born?,New York,IDK,0
374,What nationality is the director of film The Hot Angel?,South Africa,IDK,0
375,What is the place of birth of the director of film Time Raiders?,Hong Kong,IDK,0
386,Which country the director of film La Yuma is from?,French,Italian,1
388,Where did the director of film The Steps (Film) graduate from?,Canadian Film Centre,IDK,0
391,What is the place of birth of the director of film Claustrophobia (2003 Film)?,Danvers,IDK,0
403,Where was the place of death of the director of film The First Day Of Freedom?,Florida,Beaulieu- sur- Loire,1
418,Where was the place of death of the director of film I Was A Convict?,Los Angeles,IDK,0
429,Where was the director of film Life Of An Actress born?,"Memphis, Tennessee",IDK,0
431,What is the place of birth of the director of film The Great Sensation?,"Tripp County, South Dakota",IDK,0
440,What is the place of birth of the director of film Being Human (2005 Film)?,"Montreal, Quebec",IDK,0
495,What is the place of birth of the director of film The Village Sleuth?,Denver,IDK,0
496,What is the place of birth of the director of film Operation Secret?,New York,IDK,0
509,Which country the director of film Third World California is from?,Brazilian,IDK,0
529,What is the place of birth of the director of film Yoogan?,Kovilpatti,IDK,0
536,Where was the director of film Turn It Up (Film) born?,"Sudbury, Ontario",IDK,0
539,What is the place of birth of the director of film Contracted (Film)?,Russellville,IDK,0
555,What is the place of birth of the director of film The Last Horror Movie?,Newport,IDK,0
564,What is the place of birth of the director of film The Sea Tiger?,New York,IDK,0
580,Where was the father of Louise Sophie Of Hanau-Lichtenberg born?,Bouxwiller,Hanau,1
583,Where was the director of film God'S Comedy born?,Figueira,IDK,0
593,Who is Adolf Of Limburg's paternal grandfather?,Eberhard of Limburg,Hermann Otto I of Limburg- Styrum,1
594,Who is the paternal grandfather of Otto Of Limburg?,Jobst of Limburg,Hermann Otto I of Limburg- Styrum,1
613,What is the place of birth of the director of film Born To Ride (Film)?,English,"Nanterre, Hauts- de- Seine",1
624,What is the place of birth of the director of film Garshom?,Chavakkad,IDK,0
645,Who is the paternal grandfather of Dibyasambandh?,Mongkut,William Henry Walter Montagu Douglas Scott,1
649,What is the place of birth of the director of film Just Off Broadway (1924 Film)?,New York,IDK,0
658,Where did the director of film Garshom study?,"St. Thomas College, Thrissur","St. Thomas College, Thrissur",1
660,Who is the father of the director of film Power Of Women (Film)?,Jayavarman I,IDK,0
662,What is the place of birth of the director of film Evidence (1915 Film)?,Saint Louis,IDK,0
676,Where did the director of film The Lantern (Film) die?,"Hamburg, Germany",California,1
678,Where did the director of film Turn It Up (Film) study?,York University,IDK,0
685,Who is the child of the director of film Kathputli (1971 Film)?,Kamal Sadanah,Kamal Sadanah,1
696,Where was the place of death of the director of film Ducháček Will Fix It?,"Hamburg, Germany",IDK,0
713,Where did the director of film When The Girls Take Over die?,"Palm Springs, California",IDK,0
717,What is the place of birth of the director of film Kailangan Ko'Y Ikaw?,Philippines,Philippines,1
721,Where was the director of film She'S All That born?,"Toronto, Ontario",IDK,0
727,Which country the director of film Apprentice To Murder is from?,Brazilian,IDK,0
736,Where was the director of film Corazón (Film) born?,Valparaíso,Buenos Aires,1
737,Where was the place of death of the director of film Song Of China?,Hong Kong,"Xingning, China",1
800,What is the place of birth of the performer of song I Won?,"Atlanta, Georgia",IDK,0
807,What nationality is the director of film The Sound (Film)?,American,IDK,0
817,Where was the composer of film Post Master born?,Karnataka,Emmerich,1
818,Where was the director of film Other People'S Relatives born?,Perm,IDK,0
831,What is the date of death of Elisabeth Of Nuremberg's mother?,21 April 1375,21 April 1375,1
841,What nationality is the director of film The Day The Sun Turned Cold?,Chinese,IDK,0
848,Where was the director of film Ninja Iii: The Domination born?,Poland,Poland,1
876,Where was the director of film Being Twenty born?,San Ferdinando di Puglia,IDK,0
880,Where does the director of film Made In U.S.A. (1987 Film) work at?,Swinburne,IDK,0
882,Where did the director of film Back Long Ago die?,Buenos Aires,Buenos Aires,1
895,Where did the director of film Barakat! study?,Institut des hautes études cinématographiques,IDK,0
912,What nationality is the director of film His Last Dollar?,Canadian,IDK,0
915,Where was the director of film Nagarahole (Film) born?,Mysore,Bangalore,1
924,"Which film whose director is younger, Showdown At Boot Hill or The Walls Of Hell?",The Walls Of Hell,The Walls of Hell,1
933,Who is Teriimaevarua Iii's paternal grandmother?,Pōmare IV,IDK,0
