qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,BERT,Perp_ans,IDK,Time
0,Cover Boy,Yonkers Joe,0.0,0.0,0.0,0.0,6,0,0.3476007580757141,1.051208896815571,0,0.011389573415120443
1,Die Pratermizzi,Die Pratermizzi,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.0707071700918425,0,0.011389573415120443
2,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.15486097356898,0,0.0021050254503885905
3,yes,yes,1.0,1.0,1.0,1.0,0,1,1.0,1.2321324069744586,0,0.0021050254503885905
4,La Procesión,La Procesión,1.0,1.0,1.0,1.0,0,1,1.0,1.127922242783816,0,0.00313144326210022
5,Akarshan,Akarshan,1.0,1.0,1.0,1.0,0,1,1.0,1.1085929778439578,0,0.00313144326210022
6,French,switzerland,0.0,0.0,0.0,0.0,10,0,0.5940271019935608,2.7000254251426288,0,0.0030725220839182537
7,Secret Venture,Man In Blues,0.0,0.0,0.0,0.0,12,0,0.42847052216529846,1.2001701065682846,0,0.0030725220839182537
8,Jim Sterling,Jim Sterling,1.0,1.0,1.0,1.0,0,1,1.0,1.3280533197769817,0,0.0020201106866200766
9,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.276775314992167,0,0.0020201106866200766
10,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.0836970040733276,0,0.0032406588395436603
11,To Play Or To Die,Sons Of Ram,0.0,0.0,0.0,0.0,13,0,0.3847385048866272,1.1445557036645948,0,0.0032406588395436603
12,Il Seduttore,Woman Without A Past,0.0,0.0,0.0,0.0,17,0,0.20871469378471375,1.1302495149855116,0,0.0031352301438649496
13,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.0825951105751146,0,0.0031352301438649496
14,no,no,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.091862531893987,0,0.0038845638434092202
15,Brooklyn,"the University of California, Berkeley",0.0,0.0,0.0,0.0,33,0,0.41513970494270325,2.615762564723987,0,0.0038845638434092202
16,A Thunder Of Drums,A Thunder Of Drums,1.0,1.0,1.0,1.0,0,1,1.0,1.0779929453339265,0,0.0035023391246795654
17,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.1358922249945411,0,0.0035023391246795654
18,Argentine,France,0.0,0.0,0.0,0.0,6,0,0.6051766276359558,2.8586738757997048,0,0.0034348944822947185
19,Béziers,san francisco,0.0,0.0,0.0,0.0,11,0,0.4301069676876068,2.616212216690983,0,0.0034348944822947185
20,Brazil,American,0.0,0.0,0.0,0.0,7,0,0.45168691873550415,2.1269959192976193,0,0.004670576254526774
21,Xavier Florencio,Dimitris Souanis,0.0,0.0,0.0,0.0,12,0,0.4460925757884979,1.089571794076482,0,0.004670576254526774
22,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.1446193587018398,0,0.003911048173904419
23,Cinderella Of The Hills,Cinderella Of The Hills,1.0,1.0,1.0,1.0,0,1,0.9999998807907104,1.0577883470816334,0,0.003911048173904419
24,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.1188234221976945,0,0.002094473441441854
25,yes,yes,1.0,1.0,1.0,1.0,0,1,1.0,1.193334855591805,0,0.002094473441441854
26,William Henry Thompson,Jacob J. Schwartzwald,0.0,0.0,0.0,0.0,22,0,0.5453094244003296,1.2213029629697345,0,0.003870852788289388
27,The King Of The Kickboxers,Kenny & Company,0.0,0.0,0.0,0.0,22,0,0.30196061730384827,1.0450179122842007,0,0.003870852788289388
28,no,no,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.186814611976927,0,0.0028005202611287435
29,Ismael Íñiguez,Fred Kornet,0.0,0.0,0.0,0.0,11,0,0.3639824688434601,1.2058821693495632,0,0.0028005202611287435
30,yes,yes,1.0,1.0,1.0,1.0,0,1,1.0,1.0720446587603143,0,0.0035021881262461345
31,French,switzerland,0.0,0.0,0.0,0.0,10,0,0.5940271019935608,2.748630278000757,0,0.0035021881262461345
32,Girl On The Bridge,Girl On The Bridge,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.1201192103455693,0,0.0038958311080932615
33,Khubsoorat,Khubsoorat,1.0,1.0,1.0,1.0,0,1,1.0,1.0811150532790128,0,0.0038958311080932615
34,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.1434597655030998,0,0.0031518518924713137
35,Les Résultats Du Féminisme,Out Of The Rain,0.0,0.0,0.0,0.0,21,0,0.263956218957901,1.0689744147465923,0,0.0031518518924713137
36,German,France,0.0,0.0,0.0,0.0,5,0,0.6838068962097168,2.890383221626031,0,0.0039640982945760095
37,Honeymoons,Moabite Notebook,0.0,0.0,0.0,0.0,12,0,0.4574885070323944,1.0920301256626452,0,0.0039640982945760095
38,John Hopkins The Third,John Hopkins The Third,1.0,1.0,1.0,1.0,0,1,1.0,1.287641010949922,0,0.003385452429453532
39,yes,yes,1.0,1.0,1.0,1.0,0,1,1.0,1.0463401868757634,0,0.003385452429453532
40,Departure Of A Grand Old Man,Departure Of A Grand Old Man,1.0,1.0,1.0,1.0,0,1,1.0,1.057814802651095,0,0.004304194450378418
41,Rona Randall,Rona Randall,1.0,1.0,1.0,1.0,0,1,1.0000001192092896,1.042058259214506,0,0.004304194450378418
42,Without The King,Without The King,1.0,1.0,1.0,1.0,0,1,0.9999999403953552,1.244058905659092,0,0.0031490107377370197
43,yes,no,0.0,0.0,0.0,0.0,3,0,0.7633386850357056,1.1574992628919627,0,0.0031490107377370197
44,The Shanghai Story,Sudden Jim,0.0,0.0,0.0,0.0,16,0,0.49596843123435974,1.1990629601961442,0,0.003209976355234782
