qid,question,True Answer,Predicted Answer,Haluccinot
0,What entity provides help with the management of time for new students at Notre Dame?,Learning Resource Center,Notre Dame Student Services,NOHALU
1,"What genre of movie did Beyonce star in with Cuba Gooding, Jr?",musical comedy,American crime drama,NOHALU
2,To whom did Beyonce credit as her major influence on her music?,Michael Jackson,rachel kelly,fHALU:0.9453
3,Beyonce lost to which artist for Album of the year?,Beck,Drake,fHALU:0.9844
4,To whom was the letter addressed?,Angela Merkel and Nkosazana Dlamini-Zuma,the king,fHALU:0.9062
5,Which individual offered land to Father Edward Sorin?,Célestine Guynemer de la Hailandière,john henry iii,NOHALU
6,Which individual worked on projects at Notre Dame that eventually created neoprene?,Father Julius Nieuwland,Claude Moynihan,fHALU:0.7266
7,Where among US universities does Notre Dame rank?,among the top twenty,top ten,fHALU:0.8438
8,How many national titles were won when Knute Rockne coached at Notre Dame?,three,four,NOHALU
9,In what year did Lobund at Notre Dame become an Institute?,1950,1858,NOHALU
10,Where does she place in writing credits  for three number one songs?,third woman,fourth,fHALU:0.9727
11,What song did Beyoncé release as the lead single from The Fighting Tempations?,Fighting Temptations,"""I'm Not There""",NOHALU
12,What was the name of the video game that was cancelled for Beyonce?,Starpower: Beyoncé,Battle Royale,NOHALU
13,Which parent of Beyonce's help co-write a book?,Her mother,"Beyonce's father, Jay Z",fHALU:0.7617
14,Which month and year did GQ feature Beyonce on its cover?,January 2013,June 2013,NOHALU
15,When did Destiny's Child release Love Songs?,January 2013,"June 25, 1994",NOHALU
16,Who was accused of lightening Beyoncé's skin for an advertisement?,L'Oréal,adolfo sanchez,NOHALU
17,At whose inauguration did she perform the National Anthem?,President Obama,president clinton,NOHALU
18,In what building is the current School of Architecture housed at Notre Dame?,Bond Hall,Notre Dame,NOHALU
19,How many has she sold worldwide?,118 million,over 100 million,NOHALU
20,How did Etta James influence her?,boldness,She was influenced by her own music,fHALU:0.918
21,How many Grammys has Beyoncé won?,20,six,NOHALU
22,What was Beyoncé's character called in Austin Powers in Goldmember?,Foxxy Cleopatra,annie,NOHALU
23,Who was the letter addressed to?,Angela Merkel and Nkosazana Dlamini-Zuma,the President of the United States,fHALU:0.7461
24,Artist of the Decade was bestowed upon Beyonce from which magazine?,The Guardian,TMZ,fHALU:0.9805
25,How was the single released?,exclusively,acoustic version,NOHALU
26,How many did Crazy in Love sell to become one of the greatest selling singles in history?,8 million,over 100 million,NOHALU
27,Why was the broadcast the most-watched in history?,Her appearance,it was the first time a person could see the moon,NOHALU
28,From where does the Band of the Fighting Irish lead a march to the Notre Dame Stadium for football home games?,the steps of Bond Hall,Notre Dame Memorial Stadium,NOHALU
29,Her first appearance performing since giving birth was where?,Revel Atlantic City's Ovation Hall,the sydney opera house,NOHALU
30,What percentage of Notre Dame students feel they are Christian?,more than 93%,5%,NOHALU
31,At what age did Beyonce meet LaTavia Robertson?,age eight,18,fHALU:0.9375
32,Where did she perform wearing Baker's hula skirt?,2006 Fashion Rocks concert,the sydney opera house,fHALU:0.7812
33,How many top five singles came from her first album?,four,three,NOHALU
34,Where was Blue Ivy born?,Lenox Hill Hospital in New York.,New York City,NOHALU
35,What types of garments are sold by Beyonce's clothing line?,"sportswear, denim offerings with fur, outerwear and accessories that include handbags and footwear",lingerie,NOHALU
36,What was the amount of wins Knute Rockne attained at Notre Dame while head coach?,105,62,NOHALU
37,When did Beyoncé release Formation?,"February 6, 2016","June 19, 2013",fHALU:0.9961
38,What is the daily student paper at Notre Dame called?,The Observer,Notre Dame News,fHALU:0.832
39,What does Ban Bossy encourage?,leadership in girls,a more open and inclusive society,NOHALU
40,Who did Beyonce perform next to during Superbowl 50?,Coldplay,neil diamond,NOHALU
41,When did she perform at the Roseland ballroom?,2011,"May 19, 2013",NOHALU
42,Which television station finds its home at Notre Dame?,NDtv,wsj,NOHALU
43,"A fight scene from the movie, Obsessed, won which award for Beyonce?",MTV Movie Award for Best Fight,Academy Award for Best Actress,fHALU:0.8438
44,What song name does the band Suga Mama  and a song on the B'Day album share?,Suga Mama,"""It's a Wonderful Life""",NOHALU
45,"When did Beyoncé endorse on March 26, 2013?",same sex marriage,"March 26, 2013",NOHALU
46,In what year did Notre Dame football begin?,1887,1885,NOHALU
47,In what year did Beyonce have her hiatus?,2010,2010,NOHALU
48,How many books are housed at the Theodore Hesburgh Library?,almost 4 million,"over 500,000",NOHALU
49,How many albums has Beyonce as a solo artist sold in the U.S?,15 million,over 100 million,NOHALU
50,Destiny's Child released a compilation album about which topic?,romance,rap,fHALU:0.9414
51,"Up until May of 2015, how much is Beyonce's total worth?",250 million,$45 billion,fHALU:1.0
52,What company was producing the video game?,GateFive,idk,fHALU:0.875
53,What university is Notre Dame tied with in terms of most Heisman Trophy winners?,Ohio State University,University of Texas,fHALU:0.9648
54,"The single, ""Listen"" was featured in which movie?",Dreamgirls,The Devil Wears Prada,NOHALU
55,When did Beyoncé rise to fame?,late 1990s,1997,NOHALU
56,What was the name of Beyoncé's first dance instructor?,Darlette Johnson,taylor swift,fHALU:0.9922
57,"Who sang ""Girls Love Beyoncé"" in 2013?",Drake,Beyoncé,NOHALU
58,Beyonce's first fragrance had what name?,Heat,Beyonce,NOHALU
59,What professorship did Father Josh Carrier hold at Notre Dame?,Professor of Chemistry and Physics,Archbishop of Notre Dame,fHALU:0.7773
60,How many awards was Beyonce nominated for at the 52nd Grammy Awards?,ten,six,NOHALU
61,Which professor sent the first wireless message in the USA?,Professor Jerome Green,john nash,fHALU:0.9648
62,On what date did brothers from Holy Cross arrive at the future location of Notre Dame?,"November 26, 1842","March 1, 1818",NOHALU
63,What was the name of the tour featuring both Beyoncé and Jay Z?,On the Run Tour.,Beyonce and Jay Z World Tour,NOHALU
64,What are Beyoncé's backup singers called?,The Mamas,Beyonce's backup singers are called Beyonce's sisters,NOHALU
65,What caused Notre Dame to become notable in the early 20th century?,its Fighting Irish football team,the construction of the Notre Dame Cathedral,fHALU:0.9102
66,Beyoncé was an honorary chair of the 2013 what?,Met Gala.,Grammy Awards,NOHALU
67,Who shares in the House of Deréon fashion line introduction with Beyoncé?,her mother,adrianne palicki,NOHALU
68,In what year was the Theodore M. Hesburgh Library at Notre Dame finished?,1963,1887,fHALU:0.8594
69,Those who attended a Jesuit college may have been forbidden from joining which Law School due to the curricula at the Jesuit institution?,Harvard Law School,Harvard Law School,NOHALU
70,The video for what song won Beyoncé the 2009 MTV Video of the Year award?,Single Ladies,"""Shake It Off""",fHALU:0.9492
71,What was Beyonce's 2010  perfume called?,Heat,Beyonce,NOHALU
72,What did the Daily Mail say about Beyonce's voice?,versatile,she has a tinny voice,fHALU:0.9297
73,What was the highest Beyonce's first solo recording achieved in the Billboard Hot 100?,number four,2nd,NOHALU
74,What Beyoncé song was song of the year on 2010?,"""Single Ladies (Put a Ring on It)""","""Shake It Off""",fHALU:0.9336
75,In what year did the original Sorin built Main Building get replaced?,1865,1898,NOHALU
76,"Beyonce worked with who on her perfumes, True Star and True Star Gold?",Tommy Hilfiger,Yves Saint Laurent,fHALU:0.8672
77,"Beyonce wrote which song for the movie ""Epic""?",Rise Up,"""I'm a Queen""",NOHALU
78,How many copies of 4 sold in the first week?,"310,000","500,000",NOHALU
79,How many records has Beyonce sold in her 19 year career?,118 million,over 100 million,NOHALU
80,What was the music hall at Notre Dame called?,Washington Hall,Notre Dame Cathedral,NOHALU
81,"What artist did Beyonce duet with in the single, ""Deja Vu''?",Jay Z,Alicia Keys,NOHALU
