qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,Chrf++,BERT,Perp_ans
0,Learning Resource Center,Notre Dame Student Services,0.0,0.0,0.0,0.0,22,0,0.1190384104847908,0.4710864722728729,2.724401878907333
1,musical comedy,American crime drama,0.0,0.0,0.0,0.0,11,0,0.13072344660758972,0.5189284682273865,3.5390780591773976
2,Michael Jackson,rachel kelly,0.0,0.0,0.0,0.0,10,0,0.08621208369731903,0.49867361783981323,2.59381868180234
3,Beck,Drake,0.0,0.0,0.0,0.0,4,0,0.0595238134264946,0.6597530841827393,2.6008801885375745
4,Angela Merkel and Nkosazana Dlamini-Zuma,the king,0.0,0.0,0.0,0.0,35,0,0.02925701066851616,0.25773754715919495,5.227373727021258
5,Célestine Guynemer de la Hailandière,john henry iii,0.0,0.0,0.0,0.0,29,0,0.0357142873108387,0.36278507113456726,3.114790475410655
6,Father Julius Nieuwland,Claude Moynihan,0.0,0.0,0.0,0.0,18,0,0.0708388164639473,0.4232865273952484,3.7799833364752295
7,among the top twenty,top ten,0.2,0.25,0.5,0.3333333333333333,13,0,0.1517542600631714,0.650187611579895,3.2283930406967962
8,three,four,0.0,0.0,0.0,0.0,5,0,0.02604166604578495,0.9075081944465637,3.6750832275961063
9,1950,1858,0.0,0.0,0.0,0.0,2,0,0.0625,0.772427499294281,4.5058034635595785
10,third woman,fourth,0.0,0.0,0.0,0.0,10,0,0.06959173083305359,0.5890019536018372,4.052171791150164
11,Fighting Temptations,"""I'm Not There""",0.0,0.0,0.0,0.0,18,0,0.04213482886552811,0.31214097142219543,3.213736995244712
12,Starpower: Beyoncé,Battle Royale,0.0,0.0,0.0,0.0,14,0,0.0546875,0.380664199590683,2.38650776968274
13,Her mother,"Beyonce's father, Jay Z",0.0,0.0,0.0,0.0,17,0,0.14614681899547577,0.42000100016593933,1.6289726015051758
14,January 2013,June 2013,0.3333333333333333,0.5,0.5,0.5,5,0,0.23318204283714294,0.8992920517921448,4.36293894422451
15,January 2013,"June 25, 1994",0.0,0.0,0.0,0.0,10,0,0.05681818723678589,0.5399957299232483,8.379660972839154
16,L'Oréal,adolfo sanchez,0.0,0.0,0.0,0.0,13,0,0.030487805604934692,0.43627381324768066,2.577137162499763
17,President Obama,president clinton,0.0,0.0,0.0,0.0,8,0,0.3380219340324402,0.8361852169036865,2.12158153574394
18,Bond Hall,Notre Dame,0.0,0.0,0.0,0.0,7,0,0.03048780746757984,0.40407615900039673,2.0826675593904733
19,118 million,over 100 million,0.25,0.5,0.3333333333333333,0.4,7,0,0.4593172073364258,0.7147824764251709,2.3482507099542413
20,boldness,She was influenced by her own music,0.0,0.0,0.0,0.0,31,0,0.08196721225976944,0.373933881521225,4.071813235637369
21,20,six,0.0,0.0,0.0,0.0,3,0,0.0,0.683657705783844,4.630150500885044
22,Foxxy Cleopatra,annie,0.0,0.0,0.0,0.0,14,0,0.02049180306494236,0.5012082457542419,5.283610017203323
23,Angela Merkel and Nkosazana Dlamini-Zuma,the President of the United States,0.0,0.0,0.0,0.0,34,0,0.047072842717170715,0.2980029881000519,2.681092847364684
24,The Guardian,TMZ,0.0,0.0,0.0,0.0,11,0,0.013297871686518192,0.36570480465888977,2.2752758592982913
25,exclusively,acoustic version,0.0,0.0,0.0,0.0,11,0,0.09828154742717743,0.35879284143447876,2.7946064187538306
26,8 million,over 100 million,0.25,0.5,0.3333333333333333,0.4,8,0,0.5424802303314209,0.6606554388999939,2.4956011400520794
27,Her appearance,it was the first time a person could see the moon,0.0,0.0,0.0,0.0,40,0,0.10501852631568909,0.3257041275501251,3.8307315294068505
28,the steps of Bond Hall,Notre Dame Memorial Stadium,0.0,0.0,0.0,0.0,22,0,0.06546188145875931,0.36153391003608704,2.1928807471792187
29,Revel Atlantic City's Ovation Hall,the sydney opera house,0.0,0.0,0.0,0.0,28,0,0.035971228033304214,0.44520944356918335,2.820886004645245
30,more than 93%,5%,0.2,0.25,0.5,0.3333333333333333,12,0,0.04830918088555336,0.560082197189331,5.54406812462342
31,age eight,18,0.0,0.0,0.0,0.0,9,0,0.0,0.48342376947402954,3.5058698495633345
32,2006 Fashion Rocks concert,the sydney opera house,0.0,0.0,0.0,0.0,21,0,0.06220252811908722,0.36419931054115295,3.570105261510305
33,four,three,0.0,0.0,0.0,0.0,5,0,0.0297619067132473,0.9075081944465637,3.21770155588327
34,Lenox Hill Hospital in New York.,New York City,0.25,0.2857142857142857,0.6666666666666666,0.4,27,0,0.23495259881019592,0.5765311121940613,2.276433393923401
35,"sportswear, denim offerings with fur, outerwear and accessories that include handbags and footwear",lingerie,0.0,0.0,0.0,0.0,91,0,0.028692765161395073,0.45651522278785706,2.0767592887140434
36,105,62,0.0,0.0,0.0,0.0,3,0,0.0,0.8184918761253357,5.25476577897507
37,"February 6, 2016","June 19, 2013",0.14285714285714285,0.25,0.25,0.25,10,0,0.15141114592552185,0.8408212661743164,6.73029235042163
38,The Observer,Notre Dame News,0.0,0.0,0.0,0.0,11,0,0.05482456460595131,0.4394665062427521,1.5428102927925893
39,leadership in girls,a more open and inclusive society,0.0,0.0,0.0,0.0,26,0,0.0915035530924797,0.3785853683948517,5.453146766189722
40,Coldplay,neil diamond,0.0,0.0,0.0,0.0,10,0,0.0745869055390358,0.44394996762275696,2.843789466403292
41,2011,"May 19, 2013",0.0,0.0,0.0,0.0,9,0,0.1947401612997055,0.43287575244903564,10.807052519579676
42,NDtv,wsj,0.0,0.0,0.0,0.0,4,0,0.0,0.41411852836608887,3.453715477530804
43,MTV Movie Award for Best Fight,Academy Award for Best Actress,0.375,0.5,0.6,0.5454545454545454,16,0,0.4380427598953247,0.6592395901679993,1.7622968918294042
44,Suga Mama,"""It's a Wonderful Life""",0.0,0.0,0.0,0.0,21,0,0.024038461968302727,0.30308300256729126,2.729308296750542
45,same sex marriage,"March 26, 2013",0.0,0.0,0.0,0.0,15,0,0.026689469814300537,0.22504758834838867,2.499388398840886
46,1887,1885,0.0,0.0,0.0,0.0,1,0,0.2395833432674408,0.9249269962310791,2.996585012996961
47,2010,2010,1.0,1.0,1.0,1.0,0,1,0.625,0.9999999403953552,2.900301017869901
48,almost 4 million,"over 500,000",0.0,0.0,0.0,0.0,14,0,0.009328358806669712,0.7104940414428711,5.0541228677956695
49,15 million,over 100 million,0.25,0.5,0.3333333333333333,0.4,7,0,0.5022050738334656,0.7224239706993103,2.135941732208649
50,romance,rap,0.0,0.0,0.0,0.0,5,0,0.04032257944345474,0.5052849054336548,4.625442985475553
51,250 million,$45 billion,0.0,0.0,0.0,0.0,4,0,0.33968254923820496,0.6605491638183594,2.721603286069615
52,GateFive,idk,0.0,0.0,0.0,0.0,7,0,0.01785714365541935,0.45754894614219666,2.798142941984784
53,Ohio State University,University of Texas,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,17,0,0.4066091477870941,0.6078708171844482,2.5695785110094143
54,Dreamgirls,The Devil Wears Prada,0.0,0.0,0.0,0.0,17,0,0.09799934923648834,0.4201357364654541,2.1221994471260124
55,late 1990s,1997,0.0,0.0,0.0,0.0,7,0,0.1034226194024086,0.5959849953651428,3.480548709491146
56,Darlette Johnson,taylor swift,0.0,0.0,0.0,0.0,13,0,0.06161971390247345,0.3745333254337311,2.64022755759084
57,Drake,Beyoncé,0.0,0.0,0.0,0.0,7,0,0.023148149251937866,0.3064648509025574,1.531315731764792
58,Heat,Beyonce,0.0,0.0,0.0,0.0,6,0,0.027173912152647972,0.27455562353134155,2.149598124736766
59,Professor of Chemistry and Physics,Archbishop of Notre Dame,0.125,0.2,0.25,0.22222222222222224,25,0,0.11075041443109512,0.40201032161712646,1.6146838074145582
60,ten,six,0.0,0.0,0.0,0.0,3,0,0.0,0.8337681889533997,3.890152102633383
61,Professor Jerome Green,john nash,0.0,0.0,0.0,0.0,20,0,0.02130681835114956,0.5856419801712036,3.255446164423691
62,"November 26, 1842","March 1, 1818",0.14285714285714285,0.25,0.25,0.25,12,0,0.09564656764268875,0.7912158370018005,5.099632701121002
63,On the Run Tour.,Beyonce and Jay Z World Tour,0.1,0.2,0.16666666666666666,0.1818181818181818,21,0,0.13880494236946106,0.4181269407272339,1.849357404494386
64,The Mamas,Beyonce's backup singers are called Beyonce's sisters,0.0,0.0,0.0,0.0,48,0,0.03164556995034218,0.37793874740600586,2.127153035575027
65,its Fighting Irish football team,the construction of the Notre Dame Cathedral,0.0,0.0,0.0,0.0,32,0,0.09224137663841248,0.4112717807292938,2.1665372965323058
66,Met Gala.,Grammy Awards,0.0,0.0,0.0,0.0,11,0,0.04261363670229912,0.26813840866088867,2.440733898725792
67,her mother,adrianne palicki,0.0,0.0,0.0,0.0,14,0,0.02450980432331562,0.3720443844795227,2.668141783942195
68,1963,1887,0.0,0.0,0.0,0.0,3,0,0.03125,0.7701135277748108,5.348970858245685
69,Harvard Law School,Harvard Law School,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,2.0221245545138062
70,Single Ladies,"""Shake It Off""",0.0,0.0,0.0,0.0,12,0,0.03125,0.2766410708427429,2.057873649527199
