qid,answer,answer_start,answer_start_relative
0,2010,167,0.7415458937198067
1,the world’s top ten,110,0.358695652173913
2,1983,3,0.23429951690821257
3,centre of Bern,37,0.4468599033816425
4,the centre of Bern,33,0.5458937198067633
5,In the 18th century,0,0.06072106261859583
6,(1672–1727),74,0.3178368121442125
7,Black Guard,137,0.4032258064516129
8,"150,000",104,0.6888045540796964
9,coerced the country into submission.,154,0.0
10,1837,219,0.23091603053435114
11,United Kingdom,104,0.8568702290076335
12,Royal Institute of British Architects,4,0.7480916030534351
13,1971,260,0.6087786259541985
14,the advancement of architecture,158,0.04961832061068702
15,Indian Army,153,0.9268680445151033
16,Arc de Triomphe,49,0.4960254372019078
17,The India Gate,0,0.017488076311605722
18,"90,000",130,0.6311605723370429
19,1931,24,0.7647058823529411
20,George V,45,0.9346733668341709
21,Sir Edwin Lutyens and Sir Herbert Baker,144,0.423785594639866
22,1911,99,0.8224455611390284
23,Viceroy Lord Irwin,249,0.18592964824120603
24,13 February 1931,220,0.32830820770519265
25,Maharaja Jai Singh II of Jaipur,54,0.8705673758865248
26,13,102,0.21631205673758866
27,Jantar Mantar,0,0.40425531914893614
28,compile astronomical tables,188,0.45390070921985815
29,Connaught Place,25,0.13297872340425532
30,four,20,0.2035466461063994
31,Park,268,0.05011565150346955
32,E 122nd Street,0,0.3708558211256746
33,Madison Avenue,135,0.9074787972243639
34,Marcus Garvey Memorial Park,153,0.1133384734001542
35,substantial disputes over treaty interpretations,70,0.2788649706457926
36,To establish the meaning in context,120,0.2651663405088063
37,the preparatory work from the negotiation and drafting of the treaty,190,0.4481409001956947
38,International tribunals and arbiters,0,0.8287671232876712
39,"the final, signed treaty itself",270,0.49706457925636005
40,international law,296,0.6852941176470588
41,treaties,50,0.8049019607843138
42,international law,296,0.17745098039215687
43,internal law,225,0.5068627450980392
44,The Law of Treaties,29,0.09803921568627451
45,Yama,20,0.3514056224899598
46,mount,214,0.21847389558232932
47,Yama,20,0.061847389558232935
48,the gates of Naraka,111,0.8449799196787149
49,bronze dog figurines.,316,0.02289156626506024
50,"$250,000.",190,0.6802325581395349
51,"250,000",191,0.07703488372093023
52,"$250,000",190,0.23401162790697674
53,Ike,321,0.31976744186046513
54,Survivor Foundation,65,0.8313953488372093
55,"""half-caste menace""",172,0.9505766062602965
56,the White Australia ideal,204,0.8056013179571664
57,Dr. Cecil Cook,280,0.23887973640856672
58,mixed-race people,74,0.006589785831960461
59,"the Northern Territory Protector of Natives,",296,0.6210873146622735
60,"18,498",113,0.8692307692307693
61,"374,176",154,0.8173076923076923
62,tried to repair roads,338,0.20576923076923076
63,"68,636",85,0.4480769230769231
64,"69,180",55,0.08461538461538462
65,2,49,0.009174311926605505
66,5,146,0.43730886850152906
67,+290,48,0.6503567787971458
68,Tristan da Cunha,72,0.545361875637105
69,1 October 2013,158,0.90927624872579
70,Copeland Award,358,0.043801652892561986
71,70,45,0.26859504132231404
72,12,199,0.017355371900826446
73,Northwestern,254,0.47107438016528924
74,5,148,0.9256198347107438
75,Richard,111,0.6459246275197196
76,Southampton Plot,93,0.9780893952673094
77,the Bargate,364,0.14548641542506574
78,Battle of Agincourt,40,0.6967572304995618
79,Red Lion,268,0.03943908851884312
80,basmati,94,0.4922779922779923
81,rice,55,0.5907335907335908
82,Tarawih prayers,334,0.3127413127413127
83,11 pm,372,0.7239382239382239
84,lunch,8,0.013513513513513514
85,two separate satellite constellations,202,0.5982608695652174
86,since 2000,288,0.2591304347826087
87,北斗衛星導航系統,96,0.8278260869565217
88,a Chinese satellite navigation system,148,0.3234782608695652
89,"a limited test system that has been operating since 2000, and a full-scale global navigation system",242,0.5982608695652174
90,depressed,55,0.19316843345111898
91,Suriname,303,0.3545347467608952
92,deteriorating,84,0.21083627797408716
93,macroeconomic,131,0.14605418138987045
94,233 days or about 33 weeks,229,0.2826855123674912
95,IXI,262,0.9625779625779626
96,Burst.com,64,0.3898128898128898
97,1981,236,0.17983367983367984
