qid,question,context,answer
0,In what year was Bern ranked as one of the 10 best cities for their quality of life?,In 1983 the historic old town in the centre of Bern became a UNESCO World Heritage Site. Bern is ranked among the world’s top ten cities for the best quality of life (2010).,2010
1,What is Bern's ranking for the best quality of life?,In 1983 the historic old town in the centre of Bern became a UNESCO World Heritage Site. Bern is ranked among the world’s top ten cities for the best quality of life (2010).,the world’s top ten
2,When did the centre of Bern become the UNESCO World Heritage Site?,In 1983 the historic old town in the centre of Bern became a UNESCO World Heritage Site. Bern is ranked among the world’s top ten cities for the best quality of life (2010).,1983
3,Where is the UNESCO World Heritage Site?,In 1983 the historic old town in the centre of Bern became a UNESCO World Heritage Site. Bern is ranked among the world’s top ten cities for the best quality of life (2010).,centre of Bern
4,Where is the UNESCO World Heritage Site located?,In 1983 the historic old town in the centre of Bern became a UNESCO World Heritage Site. Bern is ranked among the world’s top ten cities for the best quality of life (2010).,the centre of Bern
5,When did the Black Guard exist?,"In the 18th century, the Moroccan Sultan Moulay Ismail ""the Bloodthirsty"" (1672–1727) raised a corps of 150,000 black slaves, called his Black Guard, who coerced the country into submission.",In the 18th century
6,When did Moroccan Sultan Moulay Ismail live?,"In the 18th century, the Moroccan Sultan Moulay Ismail ""the Bloodthirsty"" (1672–1727) raised a corps of 150,000 black slaves, called his Black Guard, who coerced the country into submission.",(1672–1727)
7,What did he call his slave army?,"In the 18th century, the Moroccan Sultan Moulay Ismail ""the Bloodthirsty"" (1672–1727) raised a corps of 150,000 black slaves, called his Black Guard, who coerced the country into submission.",Black Guard
8,How many black slaves did he own?,"In the 18th century, the Moroccan Sultan Moulay Ismail ""the Bloodthirsty"" (1672–1727) raised a corps of 150,000 black slaves, called his Black Guard, who coerced the country into submission.","150,000"
9,What did the Black Guard do?,"In the 18th century, the Moroccan Sultan Moulay Ismail ""the Bloodthirsty"" (1672–1727) raised a corps of 150,000 black slaves, called his Black Guard, who coerced the country into submission.",coerced the country into submission.
10,When was RIBA founded?,"The Royal Institute of British Architects (RIBA) is a professional body for architects primarily in the United Kingdom, but also internationally, founded for the advancement of architecture under its charter granted in 1837 and Supplemental Charter granted in 1971.",1837
11,In what country does RIBA mainly operate?,"The Royal Institute of British Architects (RIBA) is a professional body for architects primarily in the United Kingdom, but also internationally, founded for the advancement of architecture under its charter granted in 1837 and Supplemental Charter granted in 1971.",United Kingdom
12,What does RIBA stand for?,"The Royal Institute of British Architects (RIBA) is a professional body for architects primarily in the United Kingdom, but also internationally, founded for the advancement of architecture under its charter granted in 1837 and Supplemental Charter granted in 1971.",Royal Institute of British Architects
13,When was RIBA's founding document expanded?,"The Royal Institute of British Architects (RIBA) is a professional body for architects primarily in the United Kingdom, but also internationally, founded for the advancement of architecture under its charter granted in 1837 and Supplemental Charter granted in 1971.",1971
14,What is the goal of RIBA?,"The Royal Institute of British Architects (RIBA) is a professional body for architects primarily in the United Kingdom, but also internationally, founded for the advancement of architecture under its charter granted in 1837 and Supplemental Charter granted in 1971.",the advancement of architecture
15,The India Gate commemorates the lost soldiers of what army?,"The India Gate built in 1931 was inspired by the Arc de Triomphe in Paris. It is the national monument of India commemorating the 90,000 soldiers of the Indian Army who lost their lives while fighting for the British Raj in World War I and the Third Anglo-Afghan War.",Indian Army
16,The Indian Gate was inspired by what Parisian monument?,"The India Gate built in 1931 was inspired by the Arc de Triomphe in Paris. It is the national monument of India commemorating the 90,000 soldiers of the Indian Army who lost their lives while fighting for the British Raj in World War I and the Third Anglo-Afghan War.",Arc de Triomphe
