,Mean,std,Min,0.25q,median,0.75q,max
Jaccard,"[(0.2333588245088245, 0.26616815295815294)]","[(0.4058058534471449, 0.4260090223941853)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.2, 0.6)]","[(1.0, 1.0)]"
Recall,"[(0.24419493506493503, 0.27715334776334777)]","[(0.4099380177005058, 0.4286250716456459)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.3333333333333333, 0.75)]","[(1.0, 1.0)]"
Precision,"[(0.24683714285714287, 0.2798298412698413)]","[(0.4100396009211891, 0.428864097625576)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.3333333333333333, 0.7142857142857143)]","[(1.0, 1.0)]"
F1,"[(0.24438011544011548, 0.2768362903762903)]","[(0.4084182219752355, 0.42753767963112194)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.3333333333333333, 0.75)]","[(1.0, 1.0)]"
EditDist,"[(9.6804, 10.3808)]","[(8.627754692850278, 9.376430800683169)]","[(0.0, 0.0)]","[(1.0, 3.0)]","[(9.0, 10.0)]","[(15.0, 16.0)]","[(58.0, 71.0)]"
EM,"[(0.212, 0.2452)]","[(0.408724846320847, 0.42996855698992686)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
BERT,"[(0.6000182623147965, 0.6203297103166581)]","[(0.2544975181430627, 0.2633293514878041)]","[(0.0, 0.0)]","[(0.3847385048866272, 0.3981325328350067)]","[(0.510551244020462, 0.5488486886024475)]","[(0.7791669964790344, 0.92744642496109)]","[(1.0000001192092896, 1.0000001192092896)]"
Perp_ans,"[(2.0568344240715613, 2.1830711207814826)]","[(1.4839206263006781, 1.709723615162353)]","[(1.003895715368316, 1.0069632628314389)]","[(1.0899566379661003, 1.1022259029236576)]","[(1.531064047394283, 1.7250356019936894)]","[(2.4297280166578843, 2.540671477759834)]","[(12.11385911809858, 14.245102120343436)]"
IDK,"[(0.072, 0.0936)]","[(0.2584879107424562, 0.2912714198132045)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(0.0, 0.0)]","[(1.0, 1.0)]"
Time,"[(0.006357305256525626, 0.0064658333587645994)]","[(0.0013077305336795086, 0.001487903639487754)]","[(0.0038627962271372, 0.003905447324117)]","[(0.0053492446740468, 0.0054445604483286)]","[(0.0061149636904398, 0.0062392840782801)]","[(0.0069769978523254, 0.0071819047133127)]","[(0.0157741645971934, 0.0187708397706349)]"
