qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,Chrf++,BERT,Perp_ans
0,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0332585906641831
1,Joseph Jackson,David Bowie,0.0,0.0,0.0,0.0,13,0,0.030241934582591057,0.38070306181907654,3.7841440769501924
2,Fifty Fathoms Deep,Cool Breeze,0.0,0.0,0.0,0.0,16,0,0.03439581021666527,0.3737987279891968,1.1961019875900316
3,24 March 1634,1 April 1858,0.0,0.0,0.0,0.0,9,0,0.023148149251937866,0.7373071908950806,6.115089156806948
4,Academy Award for Best Story,Academy Award for Best Director,0.6666666666666666,0.8,0.8,0.8000000000000002,6,0,0.7839260101318359,0.8789923191070557,1.6744703239212477
5,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0364009831283052
6,Rome,New York City,0.0,0.0,0.0,0.0,12,0,0.04629629850387573,0.5646975636482239,2.8553913550100543
7,yes,no,0.0,0.0,0.0,0.0,3,0,0.0,0.7633388042449951,1.0111641373413802
8,"April 22, 1868","December 31, 1888",0.14285714285714285,0.25,0.25,0.25,11,0,0.11419735103845596,0.8399361371994019,6.05690318543497
9,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0351529918554865
10,yes,no,0.0,0.0,0.0,0.0,3,0,0.0,0.7633388042449951,1.0185649305163063
11,Rome,New York City,0.0,0.0,0.0,0.0,12,0,0.04629629850387573,0.5646975636482239,2.9303880038667187
12,David Tatham,David Tatham,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.4503359724129539
13,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0275338414173392
14,shot,he was shot,0.3333333333333333,1.0,0.3333333333333333,0.5,7,0,0.4288690388202667,0.5740445256233215,2.825403942482114
15,"June 25, 1976","December 31, 2003",0.14285714285714285,0.25,0.25,0.25,13,0,0.07362288236618042,0.7612000107765198,8.550957200527028
16,"September 26, 1979",8 November 2012,0.0,0.0,0.0,0.0,11,0,0.20172539353370667,0.6008503437042236,8.549586385635976
17,A Esposa Do Solteiro,A Esposa Do Solteiro,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0747399538261801
18,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0490381195838727
19,Dutch,London,0.0,0.0,0.0,0.0,6,0,0.0,0.5162578225135803,5.489679321899001
20,Hunted Men,Hunted Men,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.1481432554619448
21,Canadian,United States,0.0,0.0,0.0,0.0,11,0,0.05681818351149559,0.527518093585968,3.1869108931159102
22,no,no,1.0,1.0,1.0,1.0,0,1,0.375,0.9999998807907104,1.0430883779003344
23,Different From The Others,Different From The Others,1.0,1.0,1.0,1.0,0,1,1.0,0.9999999403953552,1.069280218456601
