qid,question,True Answer,Predicted Answer,Lettuce,Haluccinot
0,Do director of film Chandirani and director of film Not Without Gisela have the same nationality?,no,no,[],NOHALU
1,Who is the father of the performer of song Breaking News (Song)?,Joseph Jackson,Michael Joseph Jackson,[],NOHALU
2,"Which film came out first, Fifty Fathoms Deep or Cool Breeze (Film)?",Fifty Fathoms Deep,Fifty Fathoms Deep,[],fHALU:0.7891
3,When is Karl Johann Von Königsmarck's father's birthday?,24 March 1634,24 March 1634,[],fHALU:0.9922
4,What is the award that the director of film Young Eagles (Film) won?,Academy Award for Best Story,Academy Award for Best Story,[],NOHALU
5,Do both films Amba Ambika Ambalika and Ernest Goes To Camp have the directors from the same country?,no,no,[],NOHALU
6,Where was the place of death of the director of film Master Stroke?,Rome,"Rome, Italy",[],NOHALU
7,Are director of film Cosmonaut (Film) and director of film The Scientific Cardplayer from the same country?,yes,no,[],NOHALU
8,When is the director of film Buried Treasure (1921 Film) 's birthday?,"April 22, 1868",1950,[],fHALU:0.7891
9,"Do both films, The Trail Of The Lonesome Pine (1923 Film) and La Torre De Suso, have the directors who are from the same country?",no,no,[],NOHALU
10,Are the directors of films My Sister Eileen (1955 Film) and The Gun That Won The West both from the same country?,yes,no,[],NOHALU
11,Where was the place of death of the director of film Beyond Justice?,Rome,Brussel,[],fHALU:0.7031
12,"Who was born first, Erland Van Lidth De Jeude or David Tatham?",David Tatham,David Tatham,[],NOHALU
13,"Did the bands Band Of Gold (Band) and The Domino State, originate from the same country?",no,no,[],NOHALU
14,Why did Nona Gaye's father die?,shot,fatally shot him,[],NOHALU
15,When did the performer of song G.I. Jive die?,"June 25, 1976",date of death unknown,[],fHALU:0.9414
16,What is the date of death of the director of film Spitfire (1934 Film)?,"September 26, 1979","September 26, 1979",[],NOHALU
17,"Which film has the director who was born earlier, Honor Of The West or A Esposa Do Solteiro?",A Esposa Do Solteiro,A Esposa do Solteiro,[],NOHALU
18,Are Long Branch (Troublesome Creek) and Jenipapo River both located in the same country?,no,no,[],NOHALU
19,What is the place of birth of the director of film The Condemned 2?,Dutch,place of birth,[],NOHALU
20,"Which film has the director died first, Eleni (Film) or Hunted Men?",Hunted Men,Hunted Men,[],fHALU:0.9219
21,Which country the director of film Superfly (2018 Film) is from?,Canadian,Canadian,[],NOHALU
22,Do director of film The Somme (film) and director of film Tiger Thompson have the same nationality?,no,no,[],NOHALU
23,"Which film was released first, Different From The Others or Connecting Rooms?",Different From The Others,Different from the Others,[],NOHALU
24,Did Bruno Teles and Hadley Caliman share the same nationality?,no,no,[],fHALU:0.9023
25,What is the date of death of the director of film Once Before I Die?,"May 22, 1998","May 22, 1998)",[],NOHALU
26,Are Incheh Salah-E Olya and Ameixial located in the same country?,no,no,[],NOHALU
27,Who is the father of the director of film Missing Women (Film)?,Francis Ford,Francis Ford,[],fHALU:0.8242
28,"Are both Ingur Railway Station and Colo Vale Railway Station, New South Wales located in the same country?",no,no,[],NOHALU
29,Are General Vanier Intermediate School and Ormeau Woods State High School both located in the same country?,no,no,[],NOHALU
30,What is the date of death of the director of film Shocking Asia?,3 April 1998,3 April 1998),[],NOHALU
31,"Who was born earlier, Joseph Peter Kinneary or Nando (Footballer, Born May 1967)?",Joseph Peter Kinneary,Joseph Peter Kinneary,[],fHALU:0.8555
32,"Are both museums, Aksaray Museum and Jim Gatchell Memorial Museum, located in the same country?",no,no,[],NOHALU
33,Which country the composer of film Miss 420 is from?,India,India,[],NOHALU
34,Are both Bullarto Railway Station and Harestua Station located in the same country?,no,no,[],NOHALU
35,Are the directors of both films Jetpiloter and Life Itself (2018 film) from the same country?,no,no,[],NOHALU
36,Do both Something Always Happens and The Great Impersonation (1921 film) films have the directors from the same country?,no,no,[],NOHALU
37,"Which film has the director born earlier, Songs And Saddles or The Poor Little Rich Girl?",The Poor Little Rich Girl,The Poor Little Rich Girl,[],NOHALU
38,Do both films: The Ex-Mrs. Bradford and The Star Of Santa Clara have the directors from the same country?,no,no,[],NOHALU
39,Does Yann Pivois have the same nationality as George W. Sarbacher Jr.?,no,no,[],NOHALU
40,Was Cian O'Sullivan or Sexy Cora born first?,Sexy Cora,Sexy Cora,[],fHALU:0.9727
41,"Are Zamanabad, Chaharmahal And Bakhtiari and Ashkuh both located in the same country?",yes,yes,[],NOHALU
42,Who is the father of the performer of song The House That Jack Built (Song)?,C. L. Franklin,C. L. Franklin,[],NOHALU
43,Do both films Happy Day (Film) and El Misterioso Señor Marquina have the directors from the same country?,no,no,[],NOHALU
44,"Which country the composer of film At Last, Okemah! is from?",American,American,[],fHALU:0.8125
45,When was the director of film Battles Of Chief Pontiac born?,"February 28, 1910","February 28, 1910",[],NOHALU
46,Where was the place of death of the director of film De Blaa Drenge?,Copenhagen,Copenhagen,[],NOHALU
47,Who is the spouse of the director of film Twilight (1945 Film)?,Rosenda Monteros,Rosenda Monteros,[],NOHALU
48,Do director of film Miss Lovely and director of film Good Will Hunting have the same nationality?,no,no,[],NOHALU
49,Who is the spouse of the director of film Three Monkeys?,Ebru Ceylan,Ebru Ceylan,"[{'start': 0, 'end': 11, 'confidence': 0.7986971735954285, 'text': 'Ebru Ceylan'}]",NOHALU
