qid,query,type
0,"Which film came out earlier, Yonkers Joe or Cover Boy?",comparison
1,"Which film came out earlier, The King Of Masks or Die Pratermizzi?",comparison
2,Are both Capetinga River and Jabiberi River located in the same country?,comparison
3,Are Do Frade River and Vermelho River (Manuel Alves Grande River) located in the same country?,comparison
4,"Which film was released earlier, Nandini I Love U or La Procesión?",comparison
5,"Which film came out earlier, The Sex Of The Stars or Akarshan?",comparison
6,Which country the director of film The Military Man is from?,compositional
7,"Which film was released earlier, Secret Venture or Man In Blues?",comparison
8,"Who was born later, Saulo Torón Navarro or Jim Sterling?",comparison
9,Are And The Same To You and The King'S Romance from the same country?,comparison
10,"Are both rivers, Santa Cruz River (Santa Catarina) and Anhanduí River, located in the same country?",comparison
11,"Which film was released first, Sons Of Ram or To Play Or To Die?",comparison
12,"Which film was released more recently, Woman Without A Past or Il Seduttore?",comparison
13,Are both director of film Boum Sur Paris and director of film The Broken Butterfly from the same country?,bridge_comparison
14,Are both Matt Stephens (Politician) and David Townsend (Musician) from the same country?,comparison
15,Where did the director of film From The Journals Of Jean Seberg graduate from?,compositional
16,"Which film was released first, Love And Lemons or A Thunder Of Drums?",comparison
17,Do both directors of films It Can'T Be All Our Fault and The Dust Of Naples share the same nationality?,bridge_comparison
18,Which country the director of film First Of May (1958 Film) is from?,compositional
19,Where was the director of film House In The Sun born?,compositional
20,What nationality is the director of film From The Ashes: Nicaragua Today?,compositional
21,"Who was born earlier, Xavier Florencio or Dimitris Souanis?",comparison
22,Are both Stony Rapids Airport and Quaqtaq Airport located in the same country?,comparison
23,"Which film came out earlier, Hotel De Love or Cinderella Of The Hills?",comparison
24,Are both director of film Any Man'S Death and director of film The House Opposite (1931 Film) from the same country?,bridge_comparison
25,Are Edmonton/Villeneuve Airport and Pembroke Airport located in the same country?,comparison
26,"Who was born first, Jacob J. Schwartzwald or William Henry Thompson?",comparison
27,"Which film was released more recently, The King Of The Kickboxers or Kenny & Company?",comparison
28,Are Revolt In The Big House and The Fugitive (1914 Film) from the same country?,comparison
29,"Who is younger, Ismael Íñiguez or Fred Kornet?",comparison
30,Are Edmonton/Twin Island Airpark and Mayerthorpe Airport located in the same country?,comparison
31,Where was the husband of Françoise-Marie Jacquelin born?,compositional
32,"Which film has the director born earlier, Sinbad And The Minotaur or Girl On The Bridge?",bridge_comparison
33,"Which film was released earlier, Khubsoorat or Agata And The Storm?",comparison
34,Do both directors of films Unmarried (1939 Film) and Places In Cities have the same nationality?,bridge_comparison
35,"Which film came out earlier, Out Of The Rain or Les Résultats Du Féminisme?",comparison
36,Which country the director of film Almost Married (1919 Film) is from?,compositional
37,"Which film has the director who was born later, Honeymoons or Moabite Notebook?",bridge_comparison
38,"Which film has the director who was born earlier, John Hopkins The Third or Come Again Smith?",bridge_comparison
39,Are both Badah Railway Station and Attock City Junction Railway Station located in the same country?,comparison
40,"Which film was released first, The Tiger Hunter or Departure Of A Grand Old Man?",comparison
41,"Who was born earlier, Wang Shusen or Rona Randall?",comparison
42,"Which film came out earlier, Without The King or We Are Legion?",comparison
43,Do both directors of films Villa Falconieri (Film) and Students' Love share the same nationality?,bridge_comparison
44,"Which film has the director born first, Sudden Jim or The Shanghai Story?",bridge_comparison
45,"Which film has the director who is older than the other, Le Droit À La Vie or Heaven Without Love? ",bridge_comparison
46,Who is the father of the director of film The Ride (1994 Film)?,compositional
47,"Which film was released more recently, Fatal Lady or Every Blessed Day?",comparison
48,Are director of film Tommy The Toreador and director of film To Paris With Love both from the same country?,bridge_comparison
49,"Which film has the director born earlier, Aaj Ki Baat or Oh, Grandmother'S Dead?",bridge_comparison
50,What is the place of birth of the director of film The First Monday In May?,compositional
51,Are both Make-Up (1937 Film) and Lover'S Prayer from the same country?,comparison
52,"Which film has the director born later, The Little Chevalier or Night Of The Seagulls?",bridge_comparison
53,"Which film has the director born later, For The Service or The Flight From Love?",bridge_comparison
54,"Which film was released more recently, I Always Loved You or Far Away And Long Ago?",comparison
55,Was Jones Morgan or Gerda Sierens born first?,comparison
56,Where was the director of film Broadway Gold born?,compositional
57,"Which country the composer of film Continental, A Film Without Guns is from?",compositional
58,What is the place of birth of the director of film Who Drove The Grey Ford??,compositional
59,Do director of film Captured! and director of film Sand (1949 Film) share the same nationality?,bridge_comparison
60,"Who was born first, Gaetano De Rosa or Maja Odžaklievska?",comparison
61,"Which film was released more recently, Lord Of War or Oklahoma John?",comparison
62,Are both Three Girls Lost and Cavite (Film) from the same country?,comparison
63,What is the place of birth of the director of film Love On The Cloud?,compositional
64,What is the place of birth of the director of film The Harbour Baron?,compositional
65,What is the place of birth of the director of film Appointment Of Love?,compositional
66,"Who lived longer, John-Roger Hinkins or Charles Harpur?",comparison
67,"Which film has the director born later, Saturn In Opposition or Daughters Of Pleasure?",bridge_comparison
68,"Which film has the director who was born first, God'S Will Be Done or Riding On Air?",bridge_comparison
69,"Which film was released more recently, Poor Girls or Closed Doors Village?",comparison
70,Are the directors of films Out Of The Ruins (Film) and Brainwashed (Film) both from the same country?,bridge_comparison
71,"Which film has the director died earlier, Drop Dead Darling or Born To Gamble?",bridge_comparison
72,"Who was born later, Mickey Hart or Tony Owen?",comparison
73,Where does the director of film Ghost In The Machine (Film) work at?,compositional
74,Who is the father of the director of film Magic Hunter?,compositional
75,Do director of film Hellé (Film) and director of film S.O.S. Noronha share the same nationality?,bridge_comparison
76,"Which film has the director born later, Night And Dawn or Arena Of Fear?",bridge_comparison
77,Who is the child of the director of film His Royal Highness (1932 Film)?,compositional
78,"Are the bands Dinosaur (Band) and Alaska (Band), from the same country?",comparison
79,"Are both movies, My Father The Hero (1994 Film) and Wyoming Roundup, from the same country?",comparison
80,Are the directors of films Scuola Di Ladri and Pensione Paura both from the same country?,bridge_comparison
81,Where was the wife of M. M. Basheer born?,compositional
82,What is the place of birth of Rajendra Narayan's father?,compositional
83,"Which film came out first, Bad Man'S River or Legend Of Dinosaurs & Monster Birds?",comparison
84,"Which film has the director born later, Fængslende Feriedage or Ritzy?",bridge_comparison
85,Which country the composer of film Thunder On The Hill is from?,compositional
86,What nationality is the composer of film Citizen Mavzik?,compositional
87,"Which film has the director who is older, La Recta Provincia or Tag Til Marked I Fjordby?",bridge_comparison
88,"Who was born earlier, Shannon Gomez or Vicente Borge?",comparison
89,"Who is younger, Francesco Lepre or Matteo Furlan?",comparison
